S_ID;Years BP;Acacia;Acalypha;Acanthaceae undiff.;Acridocarpus;Adenorandia-type (A. kalbreyeri);Alchemilla;Alchornea;Allophylus;Amaranthaceae undiff.;Anacardiaceae undiff.;Anagallis;Anopyxis klaineana;Anthocleista;Anthospermum;Antiaris-type (A. toxicaria);Antidesma-type;Apiaceae undiff.;Apocynaceae undiff.;Aporrhiza;Araliaceae undiff.;Artemisia;Asteraceae undiff.;Astripomoea;Balanites;Baphia-type;Begonia;Bersama;Bertiera;Blighia;Boscia-type;Brassicaceae undiff.;Bridelia-type;Brucea;Butyrospermum;Campylospermum;Canthium;Capparaceae undiff.;Carapa-type (C. procera);Cassia-type;Cassine;Celastraceae undiff.;Celtis;Centaurea-type;Cissampelos-type;Cissus;Clausena anisata;Clematis-type;Clutia-type;Cnestis-type;Cocculus;Cochlospermum;Combretaceae/Melastomataceae undiff.;Commiphora;Crassula;Crateva adansonii;Croton-type;Crudia-type;Cussonia;Diospyros;Dipsacoideae undiff.;Dolichos-type;Dombeya-type;Drypetes-type;Embelia-type;Entada-type;Entandrophragma-type;Ericaceae undiff.;Eriosema-type;Erythrococca-type;Eugenia/Syzygium;Euphorbiaceae undiff.;Fabaceae undiff.;Faurea-type;Ficus;Flacourtia;Flueggea;Galium/Rubia;Gentianaceae undiff.;Gnidia-type;Harungana;Hermannia-type;Holoptelea grandis;Hymenocardia;Hypericum;Hypoestes-type;Hyptis;Ilex mitis;Impatiens;Indigofera;Irvingia-type;Isoglossa;Ixora-type;Justicia-type;Keetia-type (K. cornelia);Khaya-type;Klaineanthus gaboniae;Lamiaceae undiff.;Lannea-type;Laportea-type;Laurembergia tetrandra;Lecaniodiscus/Lepisanthes senegalensis;Leonotis-type;Lepisanthes-type (L. senegalensis);Leucas-type;Lindackeria-type;Lippia-type;Lobelia;Lonchocarpus;Lophira;Ludwigia-type;Macaranga-type;Maerua-type;Maesa;Mallotus-type;Margaritaria discoidea;Maytenus;Meliaceae undiff.;Mellera-type;Mesanthemum;Mitracarpus hirtus;Mitragyna-type (M. inermis);Monocotyledoneae undiff.;Morelia senegalensis;Morus;Myrianthus-type;Myrica;Myrsine africana;Nuxia-type;Olea capensis;Onagraceae undiff.;Ormocarpum;Pappea capensis;Pausinystalia-type;Pavetta;Pentaclethra macrophylla;Persicaria senegalensis-type;Phaulopsis;Phoenix;Phyllanthus-type;Poaceae undiff.;Podocarpus;Polygala-type;Polyscias;Primulaceae undiff.;Prunus;Pseudospondias-type;Psorospermum;Psydrax subcordata;Pterygota;Pycnanthus;Rapanea;Rhamnaceae undiff.;Rhus-type;Ricinus communis;Rosaceae undiff.;Rubiaceae undiff.;Rubus;Rumex;Salix;Santiria-type;Sapindaceae undiff.;Sapotaceae undiff.;Sauvagesia erecta;Schefflera;Schrebera;Sebaea;Solanaceae undiff.;Sorindeia-type;Spermacoce-type;Stephania-type (S. abyssinica);Sterculia-type;Streptocarpus;Strombosia;Swertia-type (S. abyssinica);Tapinanthus-type;Tapura fischeri-type;Tarenna-type;Teclea-type;Tetracera;Tetrorchidium;Thalictrum;Thecacoris-type;Trilepisium-type (T. madagascariense);Triumfetta-type;Uapaca;Urticaceae undiff.;Wahlenbergia;Xyris;Zanthoxylum-type;cf. Leonardoxa
321733;-1;;;;;;1;;;2;;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;11;;;;;;7;;;;;;;;;2;;;;;2;4;;;;;;;1;;;;;;;;14;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;;1;;;;;;;;;;;;;;;27;;;;;;;1;;;;;;;;;;;;;;;;;;;
321734;52;;;;;;;3;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;2;;;;4;;;;;3;;;;;9;;;;;;1;;;;;;;;;;;;4;;;;2;;;;;2;;;;;;;;2;1;;;;1;;;;;;;;1;;;;;;;;;;;8;;1;1;;1;;;;;;;;;;;;;1;;;;;;;;;;;72;;;1;;;;;;;;;;;;;;1;;;;;;;42;;;1;;;1;;4;;;1;;;;;1;;;;;;;;;;
321735;106;;;;;;;1;;;;;;;;1;;;;;;;11;;;;;;;;;;;;;;;;;;;;2;;;;;5;;;;;2;;;;;;2;;;;;;15;;;;;;3;;;;;;;;;7;;;;3;;3;;1;1;;;1;1;;;;;4;;;9;;;;;;;;;3;;;;4;;;;;;;;;3;;;;;;1;;;;;;;;;;;;24;1;;;;2;;;;;;2;;;;;;;;;;;1;;100;;;1;;;;4;;;;;;;;;;;;;;;;;;;
321736;159;;;;;;;1;;1;;;;;;;;;;;;2;3;;;;;;;;;;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;1;;;11;;4;;;;;;;5;;;;;;5;;4;;;;5;;;;;;1;;;;;;;;;;;;;;4;;;;;;;;;;;;;1;;;;4;;;;;;1;;;;;;29;;;1;;2;;;;;;;;;;;;;;;;;;;50;;;1;;;;;;;;;;;;;;;;;;;;;;;
321737;213;;;;;;;2;;2;;;;;;1;;;;;;;17;;;;;;;;;;;;;;;;;;;;1;;;;;7;;;;;2;;;;;;1;;;;;;12;;;;;1;13;;3;;;;1;;;10;;;;;;8;;1;;;;;1;;;;;1;;;;;;;;16;;;;;;6;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;53;;;1;;1;;;;;;4;;;;;;5;;;1;;;;77;;;1;;;;;;;;;;;;;;;;;;1;;;;;
321738;266;;;;;;;4;1;;;;;;;1;;;;;;;6;;;;;;;;;;;;;;;;;;;;4;;;;;3;;;;;;;;;;;2;;;;;;4;;;;2;1;7;;;;1;;;;;3;;;;;;2;;3;;;;;4;;;;;;;2;10;;;;;;;;;2;;;;4;;;;;;;;;;;;;;;1;1;;;;;;;1;;;;31;2;;;;;;;;;;;;;;;;;;;;;;;40;;;3;;;;;1;;2;;;;;;;;;;;4;;;;;
321739;320;;1;;;;;5;;2;;;;;;;;;;;;1;16;;;;;;;;;;;;1;;;;;;;;3;;;;;4;;;;;1;;;;;;1;1;;;;;;;;;;;12;;2;;;;;;;5;;;;;;4;;11;;;;1;;;;;;;;;45;;;;;;;;;;;4;;;;;;;;2;;;;;;;;;3;2;;;;;3;;;1;;;120;;;;;3;;;;;;;;;;;;;;;;;;;114;;;4;;;;;;;;;;;;;;;;;;;;;;;
321740;373;;1;;;;;1;1;1;;;;;;;;;;;;;5;;;;;;;;;;;;;;;1;;;;;;;;;;3;;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;1;;;3;;;;;;;;5;;;;;1;;;;;;;;35;;;;;;;;;;;2;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;58;;;;;;;;;;;;;;;;;1;;;;;;;23;;;;;;;;1;1;;;;;;;;;;;;;;;8;;
321741;426;;;;;;;1;;;;;;;;;;;;;;;10;;;;;;;;;1;1;;;;;;;;;;2;;;;1;3;;;;;2;;;;;;9;;;;;;4;;;;;1;8;;;;2;;;;;8;;;;1;1;3;;4;1;;;5;1;;;;;2;;1;73;;;;;;;;;5;;1;;10;;;1;;;;1;;;;;;;2;;4;;;;;;;;;;1;104;;;;;;;;;;;1;;;;;;;1;;;;;;41;;;2;;;;;;;;;1;;;;1;;;;;;1;;9;;
321742;480;;;;;;;3;;2;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;1;;;4;;;;;;;;;;1;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;;;2;;;1;;;;;;;;;;;;;15;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;107;1;;;;;;;;;;;;;1;;;1;;;;;;;2;;;;;1;;;1;;;;;;;;;;;;;1;;;6;;
