Sample ID;APD 2;Alchornea;Aniseia;Asteroideae;Berlinia-type;Carduus-type;Celtis;Cliffortia nitidula-type;Cordia africana-type;Cornus volkensii;Crassocephalum-type (C. montuosum);Cussonia;Ericaceae undiff.;Euphorbia-type;Hagenia abyssinica;Hymenocardia acida-type;Ilex mitis;Macaranga;Morella;Neoboutonia-type;Nuxia-type;Ocotea;Olea;Poaceae undiff.;Podocarpus;Polyscias fulva-type;Restionaceae undiff.;Searsia-type;Spermatophyta undiff.;Vernonia-type
428627;32;;;;;;;;;;;;13;;;;;2;6;;2;;4;283;11;;;;7;1
428628;117;;;;;;;;;1;;;9;;;3;3;;12;1;2;;;367;13;;;;17;
428629;196;;;2;;;;;;;;;32;;;;2;1;17;;2;;7;407;15;;;;4;
428630;284;;4;2;;;;1;;;1;;17;;;;1;;2;;;;3;414;11;;;;20;
428631;408;;;1;;;3;;;;;;33;;;;1;;7;;2;;2;378;10;;;1;17;1
428632;639;;;4;;;1;2;;;;;27;;;;;;1;;;;3;374;40;;;;7;1
428633;877;;;;1;;;;;1;;;24;;;;;;;;1;;7;334;64;;;;23;1
428634;1130;;;5;;;;;;;;;19;;;;1;;1;;;;8;395;32;;;;6;1
428635;1491;;;5;;;;;;;2;;27;1;;;1;;;;4;;7;317;60;;;;11;2
428636;1844;;;7;;;;2;;1;3;;51;1;;;2;;6;;3;;8;939;75;;;1;25;
428637;2197;;;3;;;;;;1;2;;16;;;1;2;;4;;4;;8;311;45;;;;14;1
428638;2547;;;4;;;;;;;;;9;;;;;;1;;;;8;370;50;;;;1;
428639;2898;;;2;;;;;;;;;17;;;;;;4;;2;;5;329;49;;;;14;
428640;3276;;;2;2;2;;;;;1;;18;1;;;1;;13;;4;;5;298;45;;;;5;
428641;3646;;;6;;;;;;;2;;22;;;1;;;3;;1;;4;256;28;;;1;6;
428642;4069;;;11;;;;;;;;;9;;;;;;;;2;;4;236;23;;;;7;
428643;4661;;;12;;;;;;;4;;2;;1;;;;6;;;;3;218;18;;;;17;
428644;5191;;;8;;;;;;;5;;;;;;;;2;;1;;;242;14;;;;12;
428645;5776;2;;14;;;;;;;;;4;1;;;;;2;;;;3;126;17;;69;1;5;
428646;6352;;;9;;;;;;;;;3;;;;1;;8;;1;;2;232;22;;69;;7;2
428647;6919;;;3;;;;;;;;;1;;1;;;;1;;1;;3;165;23;;139;;19;
428648;7500;;;;;;1;;;1;;;2;;1;;;;6;;1;;6;140;25;;196;;10;1
428649;8057;;;;;;;;;;;;3;;1;;;;5;;;;3;95;11;;172;;29;
428650;8655;;;1;;;2;;;;;;16;;;;;;1;;;;2;138;14;;235;;9;
428651;9268;;;4;1;;;;2;;;;28;1;3;;2;;;;5;;3;75;14;;220;;27;
428652;10360;;;7;1;;;2;;;;;38;;1;;;;1;;3;;3;85;39;;337;;7;1
428653;11542;;;2;1;;;;;;;;35;;1;;;;;;7;;1;69;38;;292;;20;
428654;12652;;;2;;;;;;;;;24;;;;;;2;;;;2;74;38;;337;;9;2
428655;13737;;;3;;;1;4;1;;;;11;;3;1;;;;;2;3;3;81;48;;236;;5;
428656;14879;2;1;2;;;;4;;;;;62;;4;2;1;;;;2;;6;150;111;;819;;25;
428657;16035;;;1;;;1;3;;1;;;15;;1;1;1;;;;3;2;1;67;58;;297;;13;1
428658;17211;;;;;1;;2;;1;;;6;;;;1;;7;;;;7;66;63;;312;;5;
428659;18352;;;;;;8;1;;;;;18;;1;1;1;;2;1;3;;4;72;55;;264;;7;
428660;19422;;;;;;;3;;;;;12;2;2;;;;;;;1;3;78;22;;280;;4;
428661;20512;1;;2;;;3;2;;1;;;24;4;;;;;;;;;6;35;37;;299;;8;1
428662;21698;;;;;1;1;2;;;;;4;;;;;;1;;;;;119;35;;331;;7;
428663;22737;;1;1;;;;8;;1;;;23;1;1;;;;;;1;;4;120;53;;222;;;1
428664;23805;;3;12;1;;;1;;;1;;96;;;;1;;;;2;;3;71;77;;195;;14;
428665;24755;;1;6;1;;;3;1;;;;112;;;;2;;;;1;;2;45;43;;250;;5;
428666;25550;;1;14;;;;2;;;;;100;;;;2;;;4;;;2;60;56;;302;;9;
428667;26355;;;3;1;;;1;;;;;103;2;;;;;;;1;;;63;40;;207;;5;
428668;27144;;;4;;;;3;;;;;87;;;;1;;;;2;;2;68;47;;219;;9;
428669;27969;;;2;;;;5;2;;;;31;1;;1;;;;;1;1;6;78;40;1;235;;2;
428670;28779;;;4;;;;12;;;;1;28;;1;;;;;;;2;9;108;34;;230;;7;1
428671;29610;;;2;;;1;10;;2;;1;22;;;4;;1;;;1;1;9;92;39;;133;;3;
428672;30415;;;2;;;;10;;2;;;49;;;;1;;;;;;1;62;29;;292;;1;
428673;31218;;;4;;;1;7;1;1;;;39;;;3;;1;;;1;;3;56;22;;269;;7;
428674;32019;;;7;;;1;12;;;;;36;;;1;3;;;;;;1;51;36;;289;;8;
428675;32834;;;;1;;3;8;;;1;;24;;;1;;2;;;1;;3;71;33;;299;;5;
428676;33641;;2;2;;;;9;;1;;;104;1;;;1;;1;;1;;2;191;56;;345;;10;1
428677;34462;;1;1;;;;6;;1;;;55;;;;;;1;1;1;;2;25;49;;316;;1;
428678;34978;;1;3;;;;8;;;;;75;;;;1;;;;1;;4;42;32;;312;;4;1
428679;35489;;;3;;;;2;;;;;79;;;;3;;;1;1;;1;45;47;;285;;2;
428680;35993;;;;;;;7;;;;;28;;;;1;;;;;;2;33;47;;254;;9;
428681;36501;1;;;;;;6;;1;;;20;1;;;2;2;1;;5;;5;7;71;1;272;;5;
428682;36994;;;;;;;2;;;;;51;;;1;;;;;;1;5;26;32;;258;;5;
428683;37508;;;3;1;;;4;;;;;75;1;;1;1;;;;;;;23;32;;267;;4;
428684;38023;;;2;;;;4;;;1;;76;;1;;2;;;;2;;6;22;28;;371;;10;1
428685;38533;;;3;;;1;2;;;;;91;;;;1;1;;;3;;1;60;36;;295;;3;
428686;39049;;;7;;;;17;;2;;;157;;2;;;;1;;7;;20;66;64;;753;;6;1
428687;39549;;;5;;1;;1;;;;;58;;;;2;;;;1;;1;40;40;;320;;2;2
428688;40054;;;2;;;;1;;;;;46;;1;;4;;1;1;;;1;36;22;;360;;4;
428689;40564;;;;;1;;3;;;;;11;;3;;;;;;;1;4;22;23;;288;;4;
428690;41059;1;;2;;;2;1;;;;;11;;1;;;;1;;;;3;25;52;;280;;13;
428691;41555;;;;;1;;;;;;;19;;2;;;;;;2;;3;45;58;4;307;;;
428692;42061;;;1;;;;;;;;;21;;1;;;1;2;1;;;9;56;60;;282;;9;
428693;42578;;;2;2;1;1;10;;;;5;38;;1;;;;;3;;1;3;150;24;;167;6;9;
