Sample ID;APD 2;Asteroideae;Celtis;Cliffortia nitidula-type;Crassocephalum-type (C. montuosum);Cussonia;Ericaceae undiff.;Hymenocardia acida-type;Morella;Nuxia-type;Olea;Poaceae undiff.;Podocarpus;Restionaceae undiff.;Searsia-type;Spermatophyta undiff.
428627;32;;;;;;13;;6;2;4;283;11;;;7
428628;117;;;;;;9;3;12;2;;367;13;;;17
428629;196;2;;;;;32;;17;2;7;407;15;;;4
428630;284;2;;1;1;;17;;2;;3;414;11;;;20
428631;408;1;3;;;;33;;7;2;2;378;10;;1;17
428632;639;4;1;2;;;27;;1;;3;374;40;;;7
428633;877;;;;;;24;;;1;7;334;64;;;23
428634;1130;5;;;;;19;;1;;8;395;32;;;6
428635;1491;5;;;2;;27;;;4;7;317;60;;;11
428636;1844;7;;2;3;;51;;6;3;8;939;75;;1;25
428637;2197;3;;;2;;16;1;4;4;8;311;45;;;14
428638;2547;4;;;;;9;;1;;8;370;50;;;1
428639;2898;2;;;;;17;;4;2;5;329;49;;;14
428640;3276;2;;;1;;18;;13;4;5;298;45;;;5
428641;3646;6;;;2;;22;1;3;1;4;256;28;;1;6
428642;4069;11;;;;;9;;;2;4;236;23;;;7
428643;4661;12;;;4;;2;;6;;3;218;18;;;17
428644;5191;8;;;5;;;;2;1;;242;14;;;12
428645;5776;14;;;;;4;;2;;3;126;17;69;1;5
428646;6352;9;;;;;3;;8;1;2;232;22;69;;7
428647;6919;3;;;;;1;;1;1;3;165;23;139;;19
428648;7500;;1;;;;2;;6;1;6;140;25;196;;10
428649;8057;;;;;;3;;5;;3;95;11;172;;29
428650;8655;1;2;;;;16;;1;;2;138;14;235;;9
428651;9268;4;;;;;28;;;5;3;75;14;220;;27
428652;10360;7;;2;;;38;;1;3;3;85;39;337;;7
428653;11542;2;;;;;35;;;7;1;69;38;292;;20
428654;12652;2;;;;;24;;2;;2;74;38;337;;9
428655;13737;3;1;4;;;11;1;;2;3;81;48;236;;5
428656;14879;2;;4;;;62;2;;2;6;150;111;819;;25
428657;16035;1;1;3;;;15;1;;3;1;67;58;297;;13
428658;17211;;;2;;;6;;7;;7;66;63;312;;5
428659;18352;;8;1;;;18;1;2;3;4;72;55;264;;7
428660;19422;;;3;;;12;;;;3;78;22;280;;4
428661;20512;2;3;2;;;24;;;;6;35;37;299;;8
428662;21698;;1;2;;;4;;1;;;119;35;331;;7
428663;22737;1;;8;;;23;;;1;4;120;53;222;;
428664;23805;12;;1;1;;96;;;2;3;71;77;195;;14
428665;24755;6;;3;;;112;;;1;2;45;43;250;;5
428666;25550;14;;2;;;100;;;;2;60;56;302;;9
428667;26355;3;;1;;;103;;;1;;63;40;207;;5
428668;27144;4;;3;;;87;;;2;2;68;47;219;;9
428669;27969;2;;5;;;31;1;;1;6;78;40;235;;2
428670;28779;4;;12;;1;28;;;;9;108;34;230;;7
428671;29610;2;1;10;;1;22;4;;1;9;92;39;133;;3
428672;30415;2;;10;;;49;;;;1;62;29;292;;1
428673;31218;4;1;7;;;39;3;;1;3;56;22;269;;7
428674;32019;7;1;12;;;36;1;;;1;51;36;289;;8
428675;32834;;3;8;1;;24;1;;1;3;71;33;299;;5
428676;33641;2;;9;;;104;;1;1;2;191;56;345;;10
428677;34462;1;;6;;;55;;1;1;2;25;49;316;;1
428678;34978;3;;8;;;75;;;1;4;42;32;312;;4
428679;35489;3;;2;;;79;;;1;1;45;47;285;;2
428680;35993;;;7;;;28;;;;2;33;47;254;;9
428681;36501;;;6;;;20;;1;5;5;7;71;272;;5
428682;36994;;;2;;;51;1;;;5;26;32;258;;5
428683;37508;3;;4;;;75;1;;;;23;32;267;;4
428684;38023;2;;4;1;;76;;;2;6;22;28;371;;10
428685;38533;3;1;2;;;91;;;3;1;60;36;295;;3
428686;39049;7;;17;;;157;;1;7;20;66;64;753;;6
428687;39549;5;;1;;;58;;;1;1;40;40;320;;2
428688;40054;2;;1;;;46;;1;;1;36;22;360;;4
428689;40564;;;3;;;11;;;;4;22;23;288;;4
428690;41059;2;2;1;;;11;;1;;3;25;52;280;;13
428691;41555;;;;;;19;;;2;3;45;58;307;;
428692;42061;1;;;;;21;;2;;9;56;60;282;;9
428693;42578;2;1;10;;5;38;;;;3;150;24;167;6;9
