YBP;Acacia;Acalypha;Alchemilla;Allophylus;Aloe;Anthospermum;Apiaceae;Artemisia;Aster;Asteraceae;Brassicaceae;Capparidaceae;Carduus;Caryophylaceae;Cassia;Chenopodiaceae;Clematis;Combretum;Commiphora;Cussonia;Dobera;Dodonaea;Ephedra;Erica;Euclea;Euphorbiaceae;Ficus;Hagenia;Hypericum;Hypoestes;Iridaceae;Juniperus;Justicia;Lamiaceae;Lannea;Leguminosae;Macaranga;Maytenus;Melastomataceae;Monoletes;Myrica;Myrsine;Olea;Poaceae;Podocarpus;Polygonum;Rapanea;Rhus;Rosa;Rumex;Schefflera;Securinega;Senecio;Solanum;Teclea;Urticaceae;Zanthoxylum;Undetermined
94;0;0;10;0;0;3;3;3;2;36;0;0;26;1;0;14;2;3;5;5;1;2;1;5;0;0;0;16;4;0;0;142;1;0;2;5;0;1;0;0;5;1;8;107;60;2;2;2;1;9;0;0;4;1;0;6;2;3
170;0;0;10;0;0;4;4;3;0;44;0;0;26;3;0;19;0;5;2;1;0;10;0;8;0;0;0;32;5;0;3;140;0;4;2;5;4;2;0;3;4;0;43;129;60;3;0;2;0;9;0;0;5;2;0;3;0;5
228;0;0;4;0;0;7;4;0;1;22;2;0;28;4;0;14;0;3;2;5;0;19;0;7;0;0;1;26;2;0;2;156;0;4;4;4;0;1;2;2;2;1;10;99;77;4;1;0;3;12;0;1;2;1;0;4;0;5
265;0;0;10;0;1;9;3;4;0;12;1;0;19;4;0;5;0;2;1;3;0;14;0;14;0;0;0;28;3;0;3;150;0;0;0;1;2;0;0;2;5;2;22;121;89;5;0;3;0;11;0;0;5;1;0;1;0;1
304;0;0;2;0;1;6;3;4;0;17;2;0;16;4;0;3;0;2;1;1;0;16;0;20;0;0;0;20;5;0;4;137;0;1;4;2;2;0;1;1;5;2;26;228;57;0;1;3;0;8;0;0;2;1;0;5;0;5
436;0;0;0;0;2;6;8;0;1;14;2;0;26;2;1;1;0;4;3;0;0;16;0;34;0;0;0;18;4;0;2;176;2;4;1;0;1;0;0;5;5;0;30;195;92;3;2;0;0;11;0;0;1;0;0;5;0;2
473;0;2;10;0;1;5;2;2;0;10;2;1;27;3;0;2;0;5;4;5;0;16;0;19;1;1;0;24;3;0;5;159;0;2;1;0;1;0;2;1;0;1;37;232;86;0;1;0;0;12;0;0;0;1;0;5;0;1
511;0;0;8;0;1;7;4;4;1;29;0;0;23;2;1;0;0;2;4;2;4;16;0;17;1;1;0;37;4;0;0;164;2;2;1;1;3;0;1;1;3;1;6;232;86;3;2;0;0;3;0;0;3;0;0;3;0;3
567;0;0;2;0;0;9;5;0;0;27;2;0;26;0;0;3;0;2;1;0;2;20;0;32;1;0;0;22;5;0;4;169;1;4;2;4;0;0;2;5;1;1;30;213;96;3;0;0;3;5;0;0;1;0;0;2;0;4
605;0;0;7;0;2;3;0;2;0;36;1;0;23;5;2;3;0;2;0;4;1;17;0;28;1;0;0;18;3;0;5;144;2;3;0;4;2;1;1;2;2;0;42;217;98;1;0;0;0;4;0;0;0;0;0;3;0;5
679;0;0;10;0;1;1;3;3;1;10;1;0;19;0;0;0;0;5;3;4;2;14;0;44;0;0;1;22;5;0;3;144;0;4;3;2;3;0;2;2;0;1;36;235;63;4;0;0;0;0;0;0;0;0;0;3;0;1
714;0;0;5;0;2;9;1;1;1;21;0;0;23;0;0;3;0;2;1;5;1;16;0;54;0;0;0;15;4;0;2;167;0;2;0;3;4;0;1;1;2;1;27;188;65;2;0;0;0;5;0;0;4;0;0;7;0;1
746;0;0;1;0;0;7;1;1;2;19;1;0;26;2;0;5;0;3;4;5;1;29;0;65;0;0;0;19;5;0;0;155;0;5;2;2;4;0;2;4;1;0;30;237;84;4;2;2;2;3;0;0;4;0;0;2;0;3
763;0;0;4;0;0;6;7;2;0;22;1;0;17;0;0;4;0;4;3;5;5;25;0;112;0;0;0;37;3;0;3;138;0;3;0;3;2;0;1;3;3;1;31;181;71;5;0;2;0;0;0;0;1;2;1;2;0;4
798;0;0;3;0;0;1;3;2;2;8;2;0;16;3;1;6;0;3;2;3;1;26;0;67;0;0;0;15;4;0;0;159;1;0;1;4;1;0;2;0;2;1;9;108;69;3;2;0;0;5;0;0;2;1;0;2;1;0
925;0;0;8;0;2;0;8;2;0;18;2;0;19;0;0;13;0;2;2;0;3;27;0;47;0;0;0;25;2;0;1;151;2;3;1;5;3;0;1;3;5;2;47;112;58;3;1;1;0;5;0;0;0;0;0;5;0;3
976;0;0;1;0;0;1;3;4;2;22;0;0;28;0;0;14;0;4;3;0;2;26;1;32;0;0;0;34;3;0;3;168;1;4;5;0;1;0;0;2;5;1;0;124;54;5;2;1;2;5;0;0;0;0;0;8;0;3
993;0;0;10;0;1;3;4;3;0;12;1;0;22;4;0;9;0;3;1;3;2;25;0;40;0;0;0;22;5;0;1;24;2;2;2;2;5;0;0;1;2;0;42;109;66;4;2;1;0;2;0;0;3;0;0;3;0;3
1043;0;0;9;0;0;7;5;1;1;29;2;0;25;3;0;11;0;2;3;1;1;28;0;48;0;0;0;10;1;0;4;15;2;0;2;4;5;0;2;2;0;0;10;123;76;4;0;1;0;4;0;0;3;0;0;4;0;3
1093;0;0;10;0;1;3;5;0;0;27;0;0;22;5;0;13;0;1;4;1;0;9;0;25;0;4;0;26;2;0;1;14;2;2;0;0;0;2;0;1;0;1;2;114;78;4;1;2;0;0;0;0;1;0;0;8;0;3
1140;0;0;12;0;0;9;1;1;0;15;2;0;19;4;0;8;0;2;5;0;2;7;0;24;0;0;0;34;4;0;3;24;2;2;0;1;3;0;2;4;0;0;15;119;65;5;1;1;1;1;0;0;1;1;0;5;0;4
1187;3;0;10;0;2;10;3;5;1;15;0;0;22;0;2;5;0;0;1;0;0;5;2;36;0;0;0;21;3;0;1;24;1;2;0;1;0;0;2;0;2;1;12;114;89;4;1;2;0;5;0;0;4;2;0;3;0;5
1263;2;0;19;0;1;9;5;4;1;10;1;0;17;2;0;6;0;3;2;0;0;6;0;48;0;0;0;11;4;0;5;24;0;5;1;3;0;0;1;2;0;1;8;104;52;3;2;3;0;5;0;0;1;0;0;2;0;3
1388;2;0;21;0;2;0;3;5;1;20;1;0;23;5;0;4;0;5;2;0;0;8;0;22;0;0;0;19;5;0;5;14;1;0;0;4;0;2;2;5;5;1;4;108;55;0;0;1;0;4;0;0;2;0;0;1;0;2
1444;0;1;18;0;2;2;4;3;1;3;1;0;27;0;0;3;0;5;4;0;0;10;2;18;0;0;0;11;3;0;4;17;1;4;0;3;0;0;0;3;4;2;7;79;56;5;0;3;0;0;0;0;5;0;0;3;0;0
1524;0;0;5;0;2;6;3;4;0;21;2;0;27;3;0;4;0;3;2;0;0;8;0;34;0;0;0;25;2;0;4;25;0;4;0;3;0;0;0;4;4;2;3;75;50;1;0;2;0;4;0;0;2;0;0;2;0;5
1574;0;0;12;0;1;9;8;1;1;23;0;1;22;0;0;2;0;2;4;0;0;9;0;33;0;0;1;29;1;0;0;17;2;4;0;4;0;0;2;4;1;1;6;82;51;1;1;1;0;3;0;0;1;1;0;1;2;3
1630;0;0;11;0;2;3;0;5;1;27;0;0;19;5;0;3;0;0;0;2;0;8;0;25;0;0;0;33;3;0;4;19;0;1;0;5;1;0;0;2;0;0;4;85;50;1;1;1;0;5;0;0;5;0;0;4;1;1
1659;0;0;1;0;1;10;1;0;0;16;1;0;25;5;0;1;0;3;1;0;0;7;1;37;0;0;0;17;4;0;5;18;0;5;0;3;0;0;0;2;5;1;8;114;92;1;0;0;0;2;0;0;0;0;0;5;0;5
