YBP;Acacia;Alchemilla;Allophylus;Anthospermum;Apiaceae;Artemisia;Asteraceae;Carduus;Caryophylaceae;Chenopodiaceae;Combretum;Commiphora;Dodonaea;Ephedra;Erica;Euclea;Hagenia;Hypericum;Iridaceae;Juniperus;Lamiaceae;Leguminosae;Macaranga;Monoletes;Myrica;Olea;Poaceae;Podocarpus;Polygonum;Rumex;Senecio;Urticaceae;Undetermined
94;0;10;0;3;3;3;36;26;1;14;3;5;2;1;5;0;16;4;0;142;0;5;0;0;5;8;107;60;2;9;4;6;3
170;0;10;0;4;4;3;44;26;3;19;5;2;10;0;8;0;32;5;3;140;4;5;4;3;4;43;129;60;3;9;5;3;5
228;0;4;0;7;4;0;22;28;4;14;3;2;19;0;7;0;26;2;2;156;4;4;0;2;2;10;99;77;4;12;2;4;5
265;0;10;0;9;3;4;12;19;4;5;2;1;14;0;14;0;28;3;3;150;0;1;2;2;5;22;121;89;5;11;5;1;1
304;0;2;0;6;3;4;17;16;4;3;2;1;16;0;20;0;20;5;4;137;1;2;2;1;5;26;228;57;0;8;2;5;5
436;0;0;0;6;8;0;14;26;2;1;4;3;16;0;34;0;18;4;2;176;4;0;1;5;5;30;195;92;3;11;1;5;2
473;0;10;0;5;2;2;10;27;3;2;5;4;16;0;19;1;24;3;5;159;2;0;1;1;0;37;232;86;0;12;0;5;1
511;0;8;0;7;4;4;29;23;2;0;2;4;16;0;17;1;37;4;0;164;2;1;3;1;3;6;232;86;3;3;3;3;3
567;0;2;0;9;5;0;27;26;0;3;2;1;20;0;32;1;22;5;4;169;4;4;0;5;1;30;213;96;3;5;1;2;4
605;0;7;0;3;0;2;36;23;5;3;2;0;17;0;28;1;18;3;5;144;3;4;2;2;2;42;217;98;1;4;0;3;5
679;0;10;0;1;3;3;10;19;0;0;5;3;14;0;44;0;22;5;3;144;4;2;3;2;0;36;235;63;4;0;0;3;1
714;0;5;0;9;1;1;21;23;0;3;2;1;16;0;54;0;15;4;2;167;2;3;4;1;2;27;188;65;2;5;4;7;1
746;0;1;0;7;1;1;19;26;2;5;3;4;29;0;65;0;19;5;0;155;5;2;4;4;1;30;237;84;4;3;4;2;3
763;0;4;0;6;7;2;22;17;0;4;4;3;25;0;112;0;37;3;3;138;3;3;2;3;3;31;181;71;5;0;1;2;4
798;0;3;0;1;3;2;8;16;3;6;3;2;26;0;67;0;15;4;0;159;0;4;1;0;2;9;108;69;3;5;2;2;0
925;0;8;0;0;8;2;18;19;0;13;2;2;27;0;47;0;25;2;1;151;3;5;3;3;5;47;112;58;3;5;0;5;3
976;0;1;0;1;3;4;22;28;0;14;4;3;26;1;32;0;34;3;3;168;4;0;1;2;5;0;124;54;5;5;0;8;3
993;0;10;0;3;4;3;12;22;4;9;3;1;25;0;40;0;22;5;1;24;2;2;5;1;2;42;109;66;4;2;3;3;3
1043;0;9;0;7;5;1;29;25;3;11;2;3;28;0;48;0;10;1;4;15;0;4;5;2;0;10;123;76;4;4;3;4;3
1093;0;10;0;3;5;0;27;22;5;13;1;4;9;0;25;0;26;2;1;14;2;0;0;1;0;2;114;78;4;0;1;8;3
1140;0;12;0;9;1;1;15;19;4;8;2;5;7;0;24;0;34;4;3;24;2;1;3;4;0;15;119;65;5;1;1;5;4
1187;3;10;0;10;3;5;15;22;0;5;0;1;5;2;36;0;21;3;1;24;2;1;0;0;2;12;114;89;4;5;4;3;5
1263;2;19;0;9;5;4;10;17;2;6;3;2;6;0;48;0;11;4;5;24;5;3;0;2;0;8;104;52;3;5;1;2;3
1388;2;21;0;0;3;5;20;23;5;4;5;2;8;0;22;0;19;5;5;14;0;4;0;5;5;4;108;55;0;4;2;1;2
1444;0;18;0;2;4;3;3;27;0;3;5;4;10;2;18;0;11;3;4;17;4;3;0;3;4;7;79;56;5;0;5;3;0
1524;0;5;0;6;3;4;21;27;3;4;3;2;8;0;34;0;25;2;4;25;4;3;0;4;4;3;75;50;1;4;2;2;5
1574;0;12;0;9;8;1;23;22;0;2;2;4;9;0;33;0;29;1;0;17;4;4;0;4;1;6;82;51;1;3;1;1;3
1630;0;11;0;3;0;5;27;19;5;3;0;0;8;0;25;0;33;3;4;19;1;5;1;2;0;4;85;50;1;5;5;4;1
1659;0;1;0;10;1;0;16;25;5;1;3;1;7;1;37;0;17;4;5;18;5;3;0;2;5;8;114;92;1;2;0;5;5
1672;0;7;0;10;2;4;4;27;0;7;3;2;5;0;39;0;39;2;3;18;0;0;0;2;2;1;111;53;1;2;4;4;5
1701;0;11;0;4;8;3;10;16;1;8;2;1;8;0;31;0;39;4;5;40;5;3;0;0;4;8;91;87;2;4;5;3;5
1734;0;0;0;8;10;3;7;18;2;7;0;1;7;0;17;0;19;3;0;70;1;4;0;3;1;6;83;68;0;0;5;4;5
1778;0;3;0;2;3;2;15;18;0;6;3;5;7;0;42;0;17;2;5;73;3;2;0;0;0;3;92;67;0;4;1;0;0
1855;0;7;0;7;3;2;14;26;5;5;7;4;7;0;38;0;22;3;1;63;2;3;0;1;0;16;92;64;0;0;1;0;1
1934;0;1;0;10;10;5;6;20;0;5;8;1;5;0;25;0;30;3;3;40;3;5;0;5;0;15;69;84;1;0;0;0;5
1996;0;7;0;3;3;0;20;18;2;7;7;2;9;2;4;0;28;4;2;52;1;4;0;5;2;16;70;64;0;0;2;0;5
2011;0;6;0;2;1;3;15;26;0;7;9;1;5;0;10;0;22;4;2;51;4;1;0;4;1;11;69;79;2;0;0;0;1
2057;0;12;0;6;0;3;8;21;2;7;8;0;10;0;72;0;27;3;0;63;1;5;0;0;3;12;65;68;2;0;0;0;4
2069;0;9;0;5;8;0;17;20;3;5;5;0;7;0;56;0;31;4;5;61;4;2;0;3;1;20;59;86;0;0;3;0;2
2083;0;3;0;3;3;0;20;19;0;5;7;0;10;0;30;0;40;5;1;60;3;4;0;3;2;15;75;91;0;0;5;2;3
2097;0;3;0;6;0;2;12;24;1;5;7;0;6;2;11;0;29;5;3;77;4;5;0;5;0;17;73;96;0;0;0;1;0
