Sample ID;Year;Acacia;Acalypha;Acanthaceae;Aerva-type;Afraegle;Alchornea;Allophylus;Amaranthaceae;Annonaceae;Antidesma;Apiaceae;Apocynaceae;Artemisia;Asteroideae;Balanites;Betula;Bombax;Borassus/Hyphaene;Brassicaceae;Capparaceae undiff.;Capparis;Cassia;Celtis;Chrozophora;Cissampelos cf. C. mucronata;Clematis;Combretaceae;Commelinaceae;Commiphora;Corylus;Cucurbitaceae;Detarium;Diospyros;Elaeis guineensis;Ephedra;Ericaceae;Euphorbiaceae undiff.;Fabaceae undiff.;Ficus;Grewia;Heliotropium;Hymenocardia;Indigofera;Ipomoea;Irvingiaceae;Khaya;Kohautia;Lamiaceae;Lannea/Sclerocarya;Laurembergia;Liliaceae;Lythraceae;Macaranga;Malvaceae;Menispermaceae undiff.;Mimosa pigra;Mitracarpus scaber;Mitragyna;Moraceae undiff.;Morelia senegalensis;Olea;Phoenix;Phyllanthus undiff.;Piliostigma;Pinus;Poaceae;Podocarpus;Polycarpaea;Polygonum cf. Persicaria senegalensis;Portulacaceae;Quercus;Rubiaceae undiff.;Salvadora;Sapindaceae;Securinega virosa;Sesbania;Solanum;Spermacoce;Syzygium;Uapaca;Urticaceae;Vernonia;Vitaceae undiff.;Vitex;Ximenia americana;Ziziphus
538698;70;;;;;;;;1;;;;;;3;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148;;;;;;;;;;;;;;;;;;;;
538701;94;;;;;;;;5;;;;;;1;;;;15;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;192;;;;;;;;;;;;2;;;;;;;;
538699;119;;;;;;;;9;;;;;;2;;;;9;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;;1;;;;;;;;
538700;127;;;;;;;;4;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;214;;;;;;;;;;;;;;;;;;;;
538707;135;;;;;;;;3;;;;;;;;;;7;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;304;;;;;;;;;1;;;;;;;;;;;
538702;160;;;;;;;;5;;;;;;;;;;10;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;280;;1;;;;;2;;;;;;;;;;;;;1
538704;176;;;;;;;;7;;;;;;3;;;;7;;;;;;;;;2;;;;;;;;;;1;1;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;279;;;;;;;;;;;;;;;;;;;;
538706;201;;;1;;;;;6;;;;;;;;;;10;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;272;;;;;;;;;;;;;;;;;;;;
538703;217;1;;;;;;;10;;;;;;;1;;;10;;;;;;;;;2;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;287;;;;;;;1;;1;;;;;;;;;;;
538705;242;;;;;;;;5;;;;;;;;;;3;;;;;;;;;1;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;266;;;;;;;;;;1;;;;;;;;;;
538708;258;;;;;;;;12;;;;;2;3;;;;11;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;555;;2;;;;;;;1;;;1;;;;;;;;
538711;283;1;;;;;;;7;;;;;;3;;;;4;;;2;;1;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;261;;;;;;;2;;;;;;;;;;;;;
538710;299;;;1;;;;;3;;;;;;2;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;273;;;;;;;;;;;;;;;;;;;;
538709;307;;;;;;;;7;;;;;;;;;;4;1;;;;;;;;2;3;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;287;;1;;;;;1;;;;;;;;;1;;;;
538712;356;;;;;;;;4;;;;;;1;;;;3;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;290;;;;;;;1;;;;;1;;;;;;;;
538713;405;;;;;;;;2;;;;;;;;;;3;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;267;;2;;;;;1;;;;;;;;;;;;;
538714;455;;;;;;;;4;;;;;;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;226;;;;;;;;;;;;;;;;;;;;
538715;504;;;;;;;;5;;;;;1;;;;;3;;;;;1;;;;1;;;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;285;;;;;;;;;1;;;1;;;;;;;;1
538716;553;;;;;;;;5;;;;;;;;;;6;;;;;;;;;1;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;256;;1;;;;;1;;1;;;;;;;;;;;
538717;602;;;;;;;;4;;;;;;;;;;3;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;278;;1;;;;;2;;;;;;;;;;;;;
538718;651;;;;;;1;;4;;;;;;;;;;1;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;275;;;;;;;1;;;;;;;;;;;;;
538719;708;2;;;;;;;6;;;;;;;;;;2;;;;;;;;;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;225;;;;;;1;;;1;;;;;;;;;;;
