"name","group","element","units","context","S538698","S538701","S538699","S538700","S538707","S538702","S538704","S538706","S538703","S538705","S538708","S538711","S538710","S538709","S538712","S538713","S538714","S538715","S538716","S538717","S538718","S538719","S538720","S538725","S538721","S538723","S538722","S538726","S538724","S538727","S538728","S538729","S538730","S538731","S538732","S538733","S538734","S538736","S538741","S538737","S538739","S538735","S538740","S538738","S538742","S538743","S538745","S538744","S538746","S538747","S538748","S538751","S538752","S538750","S538749","S538753","S538754","S538755","S538756","S538757","S538758","S538759","S538760","S538761","S538762","S538765","S538763","S538764","S538766","S538767","S538769","S538768","S538772","S538770","S538771","S538775","S538773","S538774","S538776","S538777","S538778","S538779","S538780","S538782","S538781","S538783","S538786","S538784","S538785","S538789","S538787","S538788","S538790","S538791","S538792","S538793","S538794","S538795","S538797","S538796","S538798","S538801","S538799","S538800","S538802","S538803","S538804","S538806","S538805"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1,4,7,8,9,12,14,17,19,22,24,27,29,30,36,42,48,54,60,66,72,79,85,91,97,104,112,118,123,128,133,140,145,150,155,160,165,170,176,181,186,192,196,203,208,214,219,225,230,235,240,245,250,255,260,265,270,275,280,286,291,296,301,306,311,316,324,329,336,341,346,351,356,361,366,371,377,382,387,397,407,417,429,439,450,460,470,480,490,500,510,515,525,530,540,551,561,571,581,591,601,611,618,626,631,641,652,662,667
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,538698,538701,538699,538700,538707,538702,538704,538706,538703,538705,538708,538711,538710,538709,538712,538713,538714,538715,538716,538717,538718,538719,538720,538725,538721,538723,538722,538726,538724,538727,538728,538729,538730,538731,538732,538733,538734,538736,538741,538737,538739,538735,538740,538738,538742,538743,538745,538744,538746,538747,538748,538751,538752,538750,538749,538753,538754,538755,538756,538757,538758,538759,538760,538761,538762,538765,538763,538764,538766,538767,538769,538768,538772,538770,538771,538775,538773,538774,538776,538777,538778,538779,538780,538782,538781,538783,538786,538784,538785,538789,538787,538788,538790,538791,538792,538793,538794,538795,538797,538796,538798,538801,538799,538800,538802,538803,538804,538806,538805
APD calibrated,Calibrated radiocarbon years BP,,,,--/70/--,--/94/--,--/119/--,--/127/--,--/135/--,--/160/--,--/176/--,--/201/--,--/217/--,--/242/--,--/258/--,--/283/--,--/299/--,--/307/--,--/356/--,--/405/--,--/455/--,--/504/--,--/553/--,--/602/--,--/651/--,--/708/--,--/757/--,--/807/--,--/856/--,--/913/--,--/996/--,--/1088/--,--/1164/--,--/1240/--,--/1317/--,--/1424/--,--/1500/--,--/1576/--,--/1653/--,--/1729/--,--/1805/--,--/1882/--,--/1973/--,--/2049/--,--/2126/--,--/2246/--,--/2340/--,--/2505/--,--/2623/--,--/2764/--,--/2881/--,--/3023/--,--/3140/--,--/3258/--,--/3375/--,--/3493/--,--/3611/--,--/3728/--,--/3846/--,--/3963/--,--/4081/--,--/4199/--,--/4316/--,--/4458/--,--/4565/--,--/4672/--,--/4778/--,--/4885/--,--/4992/--,--/5098/--,--/5269/--,--/5375/--,--/5526/--,--/5639/--,--/5751/--,--/5864/--,--/5976/--,--/6089/--,--/6202/--,--/6314/--,--/6449/--,--/6562/--,--/6674/--,--/6899/--,--/7124/--,--/7349/--,--/7620/--,--/7845/--,--/8092/--,--/8317/--,--/8542/--,--/8768/--,--/8993/--,--/9218/--,--/9443/--,--/9555/--,--/9780/--,--/9893/--,--/10090/--,--/10216/--,--/10330/--,--/10445/--,--/10559/--,--/10673/--,--/10787/--,--/10901/--,--/10981/--,--/11073/--,--/11130/--,--/11244/--,--/11370/--,--/11484/--,--/11541/--
Acacia,TRSH,pollen,NISP,,,,,,,,,,1,,,1,,,,,,,,,,2,,,,,,,,,,1,2,,,,2,,2,,1,,1,,2,1,,,,,,,,1,1,1,1,,1,,,,,,,,,,1,,,1,2,1,1,1,1,5,3,,,,,,,1,,,,,,,,,1,1,1,,,,1,,,,,,,,
Acalypha,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Acanthaceae,UPHE,pollen,NISP,,,,,,,,,1,,,,,1,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Aerva-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
