"name","group","element","units","context","S438004","S438005","S438006","S438007","S438008","S438009","S438010","S438011","S438012","S438013","S438014","S438015","S438016","S438017","S438018","S438019","S438020","S438021","S438022","S438023","S438024","S438025","S438026","S438027","S438028","S438029","S438030","S438031","S438032","S438033","S438034","S438035","S438036","S438037","S438038","S438039","S438040","S438041","S438042","S438043","S438044","S438045","S438046","S438047","S438048","S438049","S438050"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,75,95,115,135,155,175,195,215,225,235,240,245,250,255,260,265,270,275,280,285,289,295,300,305,309,315,320,325,330,335,355,375,395,415,435,455,475,495,515,555,575,595,615,635,655,675,695
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,438004,438005,438006,438007,438008,438009,438010,438011,438012,438013,438014,438015,438016,438017,438018,438019,438020,438021,438022,438023,438024,438025,438026,438027,438028,438029,438030,438031,438032,438033,438034,438035,438036,438037,438038,438039,438040,438041,438042,438043,438044,438045,438046,438047,438048,438049,438050
APD 1,Radiocarbon years BP,,,,--/617/--,--/1769/--,--/2922/--,--/4074/--,--/5226/--,--/6378/--,--/7531/--,--/7916/--,--/7997/--,--/8079/--,--/8119/--,--/8160/--,--/8269/--,--/8379/--,--/8488/--,--/8597/--,--/8707/--,--/8816/--,--/8925/--,--/9035/--,--/9122/--,--/9254/--,--/9363/--,--/9472/--,--/9560/--,--/9691/--,--/9800/--,--/9910/--,--/10019/--,--/10663/--,--/13475/--,--/16288/--,--/19100/--,--/20260/--,--/21420/--,--/22740/--,--/24220/--,--/25700/--,--/27180/--,--/30140/--,--/31620/--,--/33100/--,--/34580/--,--/36060/--,--/37540/--,--/39020/--,--/40500/--
APD 2,Calibrated radiocarbon years BP,,,,2540/647/-901,3716/1941/27,4727/3310/1429,5432/4597/3262,6980/5912/5168,8103/7141/6034,8722/8354/7741,9245/8846/8387,9444/9008/8565,9633/9175/8741,9717/9259/8850,9834/9344/8922,9955/9470/9053,10175/9596/9120,10332/9739/9233,10577/9879/9303,10716/10026/9438,10956/10174/9522,11066/10316/9657,11261/10458/9741,11345/10571/9864,11540/10742/9973,11653/10885/10149,11828/11028/10265,11912/11145/10424,12086/11320/10579,12205/11463/10792,12347/11606/10928,12458/11763/11262,12618/11924/11455,18877/15397/12668,21957/19012/15379,23645/22575/20928,25590/24274/22967,26872/25577/24176,28116/26963/25796,30239/28363/26722,31828/29723/27723,33238/31116/28976,35975/33893/31893,38104/35318/32843,40025/36707/33881,41924/38134/34886,43798/39539/35900,45644/40949/36986,47389/42354/38101,49096/43762/39277
Acalypha,UPHE,pollen,NISP,,2,7,8,6,9,6,2,1,1,2,,1,3,1,5,1,2,1,3,3,3,4,1,3,,2,1,,,,1,1,,,1,1,,,,2,,3,,,,,1
Aerva-type (A. lanata),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Aeschynomene-type (A. baumii),TRSH,pollen,NISP,,7,4,7,5,3,7,1,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
