"name","group","element","units","context","S437858","S437859","S437860","S437861","S437862","S437863","S437864","S437865","S437866","S437867","S437868","S437869","S437870","S437871","S437872","S437873","S437874","S437875","S437876","S437877","S437878","S437879","S437880","S437881","S437882","S437883","S437884","S437885","S437886","S437887","S437888","S437889","S437890","S437891","S437892","S437893","S437894","S437895","S437896","S437897","S437898","S437899","S437900","S437901","S437902","S437903","S437904","S437905","S437906","S437907","S437908","S437909","S437910","S437911","S437912","S437913","S437914","S437915","S437916","S437917","S437918","S437919","S437920","S437921","S437922","S437923","S437924","S437925","S437926","S437927","S437928","S437929","S437930","S437931","S437932","S437933","S437934","S437935","S437936","S437937","S437938","S437939","S437940","S437941","S437942","S437943","S437944","S437945","S437946","S437947","S437948","S437949","S437950","S437951","S437952","S437953","S437954","S437955","S437956","S437957","S437958","S437959","S437960","S437961","S437962","S437963","S437964","S437965","S437966","S437967","S437968","S437969","S437970","S437971","S437972","S437973","S437974","S437975","S437976","S437977","S437978","S437979","S437980","S437981","S437982","S437983","S437984","S437985","S437986","S437987","S437988","S437989","S437990","S437991","S437992","S437993","S437994","S437995","S437996"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,3,15,25,33,45,52,59,65,70,75,80,85,90,95,102,109,115,121,125,131,135,141,145,152,160,162,165,170,175,181,185,195,202,215,225,235,245,252,265,275,287,295,302,315,325,334,338,340,343,345,348,350,353,355,359,361,363,365,369,371,373,375,379,381,383,385,389,391,393,395,398,401,403,405,408,410,411,415,420,425,431,435,441,445,455,465,475,485,495,505,515,525,535,545,555,565,575,581,585,591,595,605,615,625,635,645,655,665,685,695,705,715,725,735,745,755,765,775,785,795,805,815,825,835,845,855,865,875,885,895,905,915,925,935,945,955,965,973,985
Thickness,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,437858,437859,437860,437861,437862,437863,437864,437865,437866,437867,437868,437869,437870,437871,437872,437873,437874,437875,437876,437877,437878,437879,437880,437881,437882,437883,437884,437885,437886,437887,437888,437889,437890,437891,437892,437893,437894,437895,437896,437897,437898,437899,437900,437901,437902,437903,437904,437905,437906,437907,437908,437909,437910,437911,437912,437913,437914,437915,437916,437917,437918,437919,437920,437921,437922,437923,437924,437925,437926,437927,437928,437929,437930,437931,437932,437933,437934,437935,437936,437937,437938,437939,437940,437941,437942,437943,437944,437945,437946,437947,437948,437949,437950,437951,437952,437953,437954,437955,437956,437957,437958,437959,437960,437961,437962,437963,437964,437965,437966,437967,437968,437969,437970,437971,437972,437973,437974,437975,437976,437977,437978,437979,437980,437981,437982,437983,437984,437985,437986,437987,437988,437989,437990,437991,437992,437993,437994,437995,437996
APD 2,Calibrated radiocarbon years BP,,,,-24/-29/-34,6/-19/-34,27/-5/-25,47/9/-16,470/180/18,1086/397/29,1699/615/41,1979/856/165,2210/1066/237,2592/1274/292,3036/1478/330,3139/1663/536,3274/1849/660,3441/2036/759,3733/2300/950,3896/2575/1210,4090/2814/1378,4340/3054/1554,4399/3227/1790,4515/3486/2052,4616/3659/2172,4827/3913/2412,4860/4071/2831,4942/4354/3504,5135/4677/3928,5156/4708/3967,5186/4753/4024,5268/4830/4113,5395/4905/4175,5550/4990/4252,5596/5040/4311,5760/5162/4435,5883/5247/4516,6047/5407/4668,6179/5529/4794,6293/5650/4915,6418/5775/5062,6483/5867/5178,6638/6030/5353,6726/6152/5482,6843/6297/5648,6917/6392/5743,6987/6475/5841,7088/6637/6096,7185/6760/6294,7254/6868/6482,7297/6917/6536,7325/6942/6559,7348/6978/6608,7368/7002/6637,7399/7039/6671,7424/7063/6691,7464/7100/6717,7492/7123/6731,7575/7171/6758,7599/7197/6788,7611/7224/6832,7630/7252/6880,7669/7307/6964,7689/7334/7001,7714/7362/7033,7738/7390/7061,7807/7445/7110,7845/7478/7137,7889/7506/7155,7933/7534/7173,8031/7591/7202,15979/13599/9725,16004/13731/10046,16025/13865/10372,16057/14064/10841,16099/14267/11330,16134/14400/11637,16160/14533/11936,16214/14733/12410,16247/14868/12684,16268/14936/12840,16344/15204/13395,16519/15563/13996,16702/15899/14571,17107/16300/15118,17554/16566/15345,18239/16942/15628,18321/17148/15960,18646/17665/16519,19042/18140/17030,19457/18576/17404,20075/18962/17700,20635/19287/17948,21174/19621/18212,21641/19964/18491,22144/20446/18976,22788/21088/19467,23514/21794/20112,24382/22569/20665,25327/23254/21200,25911/23856/21677,26382/24213/21964,26535/24443/22317,26824/24792/22745,27050/25024/22925,27621/25590/23452,28223/26138/23894,28838/26669/24401,29387/27189/24872,29896/27706/25410,30291/28223/25939,30741/28732/26545,31571/29774/27800,32150/30318/28332,32885/30866/28763,33699/31421/29146,34479/31908/29503,35075/32340/29825,35644/32727/30146,36159/33088/30463,36688/33454/30820,37183/33820/31161,37669/34184/31510,38115/34545/31839,38553/34906/32186,38951/35270/32525,39500/35696/32914,40151/36191/33276,40894/36724/33622,41667/37310/33980,42412/37897/34365,43194/38499/34736,44039/39103/35173,44951/39708/35565,45855/40315/35983,46676/40919/36377,47491/41530/36825,48250/42130/37292,49063/42731/37794,49852/43318/38208,50655/43917/38669,51351/44411/38978,52393/45148/39541
APD 1,Calibrated radiocarbon years BP,,,,-13/-26/-35,39/-8/-33,76/6/-26,124/26/-13,625/237/35,1210/483/94,1584/728/163,1821/943/296,2135/1124/366,2297/1305/523,2539/1484/616,2696/1666/774,2941/1847/876,3097/2028/1048,3383/2280/1257,3626/2536/1459,3794/2751/1653,4004/2967/1818,4107/3111/1974,4300/3328/2150,4384/3473/2320,4558/3692/2526,4640/3842/2723,4818/4101/2983,4994/4384/3246,5027/4422/3297,5102/4477/3357,5275/4567/3451,5418/4645/3545,5608/4737/3634,5721/4798/3703,6027/4952/3868,6249/5062/3993,6661/5262/4232,7002/5416/4400,7328/5572/4583,7668/5733/4748,7956/5844/4866,8391/6048/5117,8702/6203/5302,9068/6396/5525,9349/6515/5668,9574/6620/5786,10061/6826/6057,10398/6983/6270,10694/7133/6457,10838/7205/6521,10921/7240/6551,11078/7303/6614,11204/7345/6647,11361/7407/6683,11478/7449/6701,11602/7511/6770,11698/7553/6810,11890/7636/6868,11992/7678/6909,12071/7719/6961,12179/7762/6998,12348/7846/7055,12459/7892/7114,12549/7947/7212,12663/8004/7283,12891/8115/7366,13028/8323/7496,13193/8685/7600,13353/9046/7666,13741/9770/7780,13994/10133/7992,14115/10504/8238,14262/10873/8411,14549/11427/8626,14914/11981/9055,15033/12358/9528,15181/12735/9896,15455/13301/10283,15765/13678/10490,15796/13859/10968,15933/14592/12770,16361/15521/14101,16682/15820/14436,17296/16168/14726,17455/16387/14975,17855/16725/15288,18013/16962/15628,18486/17543/16345,18915/18095/16950,19510/18552/17360,20131/18945/17706,20655/19339/18046,21124/19725/18393,21582/20116/18736,22140/20640/19235,22801/21336/19898,23457/22014/20491,24172/22592/20977,24775/23134/21445,25351/23687/21950,25749/24016/22214,25931/24230/22476,26279/24552/22753,26461/24762/22984,27028/25269/23459,27567/25759/23950,28102/26250/24428,28592/26734/24897,29063/27227/25391,29523/27718/25889,29971/28205/26395,30849/29154/27377,31325/29593/27783,31810/30027/28157,32277/30459/28531,32737/30848/28863,33156/31190/29181,33544/31534/29501,33984/31883/29817,34402/32237/30152,34779/32589/30500,35159/32927/30793,35521/33258/31123,35887/33602/31452,36270/33950/31788,36691/34332/32140,37216/34739/32484,37716/35141/32816,38205/35546/33151,38679/35957/33469,39180/36366/33811,39671/36777/34175,40188/37187/34509,40677/37596/34865,41108/37992/35185,41565/38381/35533,42049/38784/35858,42549/39191/36180,42977/39595/36509,43419/39999/36820,43763/40318/37098,44357/40792/37470
Acacia (group III),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha,UPHE,pollen,NISP,,6,6,7,3,10,3,2,3,3,2,2,,,,2,4,1,2,,1,,4,9,,3,2,3,2,,3,3,2,4,,2,4,7,,2,,,1,2,3,,2,3,,3,4,1,3,1,3,3,5,,,2,1,4,,1,1,3,5,3,5,2,1,2,4,2,2,1,1,1,1,,2,1,1,4,,2,,3,1,,2,1,3,2,,,,2,1,1,4,3,1,2,2,1,,,1,3,1,2,2,2,2,,1,,,1,,,1,,,,1,,1,,,1,1,,,,,1,1,1
Acanthaceae,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,1,,2,,,,1,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,1,1,1
Achyranthes-type (A. aspera),UPHE,pollen,NISP,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeschynomene-type (A. baumii),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Alchemilla,UPHE,pollen,NISP,,,,2,2,8,4,6,4,6,3,1,4,5,2,6,3,3,8,1,5,9,10,23,7,3,7,14,8,1,6,7,14,3,5,2,7,5,3,5,3,7,17,6,4,5,4,15,7,14,6,23,16,17,7,14,8,8,5,9,7,4,2,5,3,4,3,2,7,8,9,14,14,9,12,15,14,17,12,12,2,7,5,7,5,13,4,4,4,12,5,12,8,4,15,9,13,11,11,1,10,15,35,27,19,7,5,3,2,5,1,3,6,5,,6,7,3,1,2,4,7,3,2,,,4,4,7,4,5,8,2,10,2,5,2,,4,6
Alchornea,TRSH,pollen,NISP,,,,1,4,1,,2,2,,,,4,1,1,,,,,,1,,4,3,1,2,2,6,5,3,8,2,8,2,5,4,7,6,8,8,3,4,5,3,6,7,7,9,8,9,2,17,10,4,6,9,6,10,6,7,12,10,3,13,7,7,9,8,4,1,3,2,2,1,1,,1,2,,,1,1,,,,1,,2,,1,1,,6,,1,1,,1,1,3,1,2,,3,,,,2,,,1,1,1,2,,,,1,,2,,,,1,2,,1,3,4,,3,1,4,5,2,1,13,1,12,4
Allophylus,TRSH,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Aloe-type,SUCC,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
Ammannia-type (A. prieuriana),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthocerotaceae,UPBR,spore,NISP,,7,27,16,21,18,16,8,13,3,8,3,5,2,5,7,7,3,4,3,2,,,8,1,5,3,12,2,,1,6,1,,3,1,3,1,2,,,2,,3,,9,22,40,22,28,5,29,18,29,14,27,14,16,6,5,5,5,8,12,16,1,4,6,12,9,19,32,32,23,37,30,34,46,53,49,11,30,60,101,20,12,27,31,10,2,18,33,52,23,24,19,43,34,19,4,10,3,6,4,1,4,42,80,78,38,41,29,30,25,12,20,17,34,12,6,13,14,10,2,1,,15,4,10,13,32,17,9,23,3,3,,2,,6
Anthocleista,TRSH,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,
Anthospermum,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,1,3,,1,4,1,1,5,,3,1,,6,1,2,5,3,1,3,,,1,2,,,,,,2,,,,,,,,2,3,,1,1,1,1,4,2,,4,2,1,2,,,3,,1,,,,1,,1,1,,,3,,,1,1,,
Apiaceae,UPHE,pollen,NISP,,6,12,8,7,10,16,9,6,5,9,4,10,9,9,15,10,7,8,2,1,7,2,2,7,2,,8,,,3,8,2,4,2,3,3,2,2,6,1,1,4,3,4,6,5,13,5,10,,17,7,11,5,11,5,1,3,2,3,3,3,5,5,3,4,3,3,4,12,7,10,10,6,7,8,4,7,5,3,4,1,3,7,3,14,22,13,21,21,5,9,11,20,11,28,16,12,6,17,12,11,8,1,5,12,14,8,3,13,7,17,17,16,25,11,16,14,2,18,28,10,1,5,4,9,6,5,5,1,6,1,8,2,2,1,3,2,4
Apodytes dimidiata,TRSH,pollen,NISP,,2,,1,1,1,1,3,,,,3,8,4,1,,2,2,3,3,1,4,7,7,3,6,2,,5,,6,,2,1,6,2,,2,3,,3,,3,,2,,,,,,3,2,1,,2,1,,1,4,1,1,2,1,,,2,2,3,,,1,,,,1,,,,,,,,,,,2,,,,,,1,,,,1,,,,1,,,,1,,,1,,,,,,,,,1,,,,,,,,1,1,,,1,4,1,,,3,7,1,1,3,,3,2
