"name","group","element","units","context","S428698","S428699","S428700","S428701","S428702","S428703","S428704","S428705","S428706","S428707","S428708","S428709","S428710","S428711","S428712","S428713","S428714","S428715","S428716","S428717","S428718","S428719","S428720","S428721","S428722","S428723"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,428698,428699,428700,428701,428702,428703,428704,428705,428706,428707,428708,428709,428710,428711,428712,428713,428714,428715,428716,428717,428718,428719,428720,428721,428722,428723
APD 2,Calibrated radiocarbon years BP,,,,795/260/-31,1175/596/128,1482/936/355,1755/1289/673,1912/1623/1148,2026/1885/1637,2267/1962/1689,2497/2044/1755,2737/2129/1836,2983/2213/1919,3241/2299/2007,3412/2382/2087,3657/2492/2211,4681/3094/2397,5420/3859/2695,5936/4514/3208,6578/5239/3774,7084/5975/4574,7360/6723/5735,7784/7524/7310,9841/8340/7511,10948/9205/7926,11703/10059/8509,12423/10975/9298,12858/11830/10332,13117/12601/11502
APD 1,Calibrated radiocarbon years BP,,,,296/281/266,643/617/588,991/954/909,1339/1291/1231,1689/1628/1554,1946/1878/1797,1992/1926/1855,2046/1975/1907,2099/2023/1947,2153/2071/1980,2211/2120/2013,2273/2168/2043,2732/2628/2507,3462/3363/3256,4199/4099/4001,4935/4834/4741,5673/5569/5479,6413/6304/6211,7163/7039/6936,7975/7865/7772,8795/8700/8617,9619/9535/9459,10447/10370/10297,11274/11206/11134,12108/12041/11968,12865/12793/12712
Acalypha,UPHE,pollen,NISP,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,
Alchornea,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Allophylus,TRSH,pollen,NISP,,1,,2,1,2,,,,,,,,,,,,,,,,,,,,,
Anthocleista,TRSH,pollen,NISP,,,,,,1,2,5,,,,,,1,,,1,,1,,,1,,,,,
Araliaceae undiff.,UPHE,pollen,NISP,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,
Asteroideae undiff.,UPHE,pollen,NISP,,13,12,9,17,17,8,9,20,13,10,17,14,24,21,20,12,15,17,29,19,27,37,36,36,31,26
Berlinia-type,TRSH,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,1,,,,,,
Brachystegia,TRSH,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,1,,
Brassicaceae undiff.,UPHE,pollen,NISP,,1,2,1,5,,4,2,,2,,,1,,1,,1,,,,,,2,1,1,,2
Carduus-type,UPHE,pollen,NISP,,1,1,,3,1,,,1,,,1,,,,,3,,,1,,1,,1,,,
Cassine-type,TRSH,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,
Cassipourea,MANG,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Celtis,TRSH,pollen,NISP,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,
Cliffortia nitidula-type,TRSH,pollen,NISP,,,1,,,,,1,1,,,,1,,,,,,,,,,3,9,7,10,13
Combretum-type,TRSH,pollen,NISP,,,,,,,,,,,2,,,1,,,,,,,,,,,,,
Commelina-type,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Commiphora,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Cordia africana-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Cornus volkensii,TRSH,pollen,NISP,,,1,2,,,1,1,,1,,,1,1,1,,,,,,,,,,,1,
Crassocephalum-type (C. montuosum),UPHE,pollen,NISP,,1,,1,1,,,1,,,,,,,,,,1,,,,,,,,,
Croton-type,TRSH,pollen,NISP,,,,,,,,,2,,,,,,,,,,1,1,,2,,,,,1
Cussonia,TRSH,pollen,NISP,,,,,,1,,,,,1,1,1,,1,,,,,,,1,,3,1,,
Cyathea,VACR,spore,NISP,,11,,,,1,,,,,,,,,,,1,,,1,,2,2,4,3,3,8
Cyperaceae undiff.,UPHE,pollen,NISP,,114,113,132,118,116,108,119,112,123,112,120,137,128,129,128,116,142,99,87,108,113,108,142,142,125,127
Diphasium jussiaei-type,VACR,spore,NISP,,8,17,12,10,13,18,12,5,11,24,20,11,13,11,8,19,11,24,31,28,50,42,18,21,17,10
Ekebergia-type (E. capensis),TRSH,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Englerina,TRSH,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1
Ericaceae undiff.,TRSH,pollen,NISP,,12,14,27,18,18,24,27,26,19,19,19,22,20,18,35,27,17,20,12,4,14,6,21,10,26,30
Eriocaulon,AQVP,pollen,NISP,,1,1,,,,,,,,1,,1,,,,,,,,,,,,,,2
Euclea,TRSH,pollen,NISP,,3,,,,,,,,,1,,,1,,,,,,,,,,,,,
Euphorbia-type,UPHE,pollen,NISP,,,1,,,2,,,,1,,,1,,,,1,,,1,,,,,2,1,1
Euphorbiaceae undiff.,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ficus,TRSH,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Hagenia abyssinica,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,2,1,1,3
Heliotropium,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,1,,,,,,,,,,,
Hymenocardia acida-type,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,1,,,,,2
Hypoestes-type,UPHE,pollen,NISP,,1,,,,,,,,,,1,2,,2,,2,,,,,1,1,,1,5,
Ilex mitis,TRSH,pollen,NISP,,2,5,2,2,,3,1,4,2,1,3,,1,2,1,1,,2,,2,,2,2,2,3,3
Isoberlinia-type,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Laurembergia,UPHE,pollen,NISP,,59,58,17,23,12,17,26,10,20,14,16,10,13,13,22,13,11,11,16,13,9,,,1,4,
Liliaceae undiff.,UPHE,pollen,NISP,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1
Lobelioideae undiff.,UPHE,pollen,NISP,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
Lycopodiaceae (foveolate),VACR,spore,NISP,,4,,,,,,,,,,,,,,,,,,,2,,,2,1,2,
Macaranga,TRSH,pollen,NISP,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,
Malvaceae undiff.,UPHE,pollen,NISP,,,,1,,,,1,,,,4,3,1,,,,,,,,,,,,,
Maytenus,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,
Mimulopsis-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,2
Monoletes undiff.,PTER,spore,NISP,,,1,,1,7,1,2,2,2,1,6,4,1,4,2,,2,1,4,8,7,27,25,25,29,53
Morella,TRSH,pollen,NISP,,5,1,,2,3,,,2,,,,,,1,,,,,1,,,1,2,1,1,2
Neoboutonia-type,TRSH,pollen,NISP,,,,,,,,,,,,1,,,,1,,,,,4,,,,1,1,2
Nuxia-type,TRSH,pollen,NISP,,1,1,,,1,1,2,2,2,,,1,2,4,1,1,5,1,1,,1,5,2,5,5,13
Nymphaea lotus-type,AQVP,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Ocotea,TRSH,pollen,NISP,,,1,,,1,,,,,,,,,,,,,1,,,1,1,,,2,
Olea,TRSH,pollen,NISP,,6,1,1,1,,2,3,1,1,2,1,1,3,2,4,3,2,,,1,1,1,4,2,2,13
Ozoroa-type,TRSH,pollen,NISP,,,,3,1,,,,,,,,,1,,,,,,,,1,1,,,,
Phyllanthus-type,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Poaceae (<40 µm),UPHE,pollen,NISP,,169,195,196,219,182,200,178,196,203,193,211,207,215,240,230,220,207,157,182,147,159,175,150,129,92,139
Poaceae (>40 µm),UPHE,pollen,NISP,,4,,1,,13,12,14,4,4,13,4,3,5,1,7,,3,6,8,1,1,3,3,10,62,7
Podocarpus,TRSH,pollen,NISP,,14,12,21,16,18,19,15,10,15,19,18,7,20,30,12,16,18,21,24,32,19,15,21,15,28,38
Polyscias fulva-type,TRSH,pollen,NISP,,1,,2,4,3,1,4,1,1,1,,4,,,,,1,1,,1,2,2,2,,,
Restionaceae undiff.,UPHE,pollen,NISP,,1,,,,1,,1,,,,,,,,,,,,,,,,3,9,9,30
Rubiaceae undiff.,TRSH,pollen,NISP,,,,,,,,,,,,,,,2,,1,,,,,,,,,3,
Satureja,UPHE,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
Searsia-type (S. natalensis),TRSH,pollen,NISP,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,
Searsia-type (S. tripartita),TRSH,pollen,NISP,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
