Sample ID;RUM 2;Acalypha;Alchornea;Allophylus;Amaranthaceae;Anthospermum;Apiaceae;Apodytes;Artemisia;Asteraceae;Brassicaceae;Canthium;Capparaceae;Cardamine;Cassipourea;Celtis;Cissampelos;Clausena;Clematis;Cleome;Cliffortia;Combretum;Commelina;Commiphora;Cordia;Cornus subg. Afrocrania;Croton;Cuscuta;Dombeya;Drypetes;Ericaceae;Euclea;Euphorbia;Faurea;Ficus;Gnidia;Gunnera;Hagenia;Heliotropium;Hypericum;Hypoestes;Hyptis;Ilex;Impatiens;Ipomoea;Iridaceae;Juniperus;Justicia;Kedrostis;Lamiaceae;Lasianthus;Leucas;Liliaceae;Macaranga;Maesa;Moraceae;Myrica;Neoboutonia;Nuxia;Olea;Phyllanthus;Poaceae;Podocarpus;Polyscias;Protea;Prunus;Rapanea;Ricinus;Rubiaceae;Rumex;Sapotaceae;Schefflera;Stemodia;Stephania;Stoebe;Syzygium;Tarenna;Terminalia;Urticaceae;Valeriana;Vernonia
428969;211;1;;;3;;1;;;11;2;;;;;;;1;;;;;2;;1;;;;;;1;;;;;;;1;;;;;3;1;;;2;1;;2;1;;1;2;;;1;1;;1;;21;7;2;;1;1;;;;;3;;;;5;;;3;;
428970;239;;;;8;;;;5;29;1;1;;;;1;;;;;;;;;;2;1;;;;12;;1;;;;;5;;;;;5;1;;;4;2;;;1;;;1;;;3;;1;4;;37;44;1;;1;;;2;;;8;;;3;1;;;2;;
428971;416;12;4;1;1;;7;;;230;1;;;;;1;3;;;;;;;;;;2;;;;45;4;10;17;;;;11;8;;;;129;1;;;2;;;1;;;10;9;;;30;;7;13;1;194;145;;;;;;23;;;20;;2;5;;;;2;1;
428972;880;5;;8;;;16;;;33;;8;3;;;13;;;;;;;;;;14;;;1;;3;;3;;;;;17;1;;;;52;3;;;;;;1;;;;14;;;53;;11;2;5;50;39;27;14;;;;3;;1;;;10;;5;;;;;
428973;1088;1;;3;1;;1;;;5;;2;3;;;11;;;;3;5;;;;;6;;;;;1;1;2;;;;;4;1;;;;3;;1;;5;;;1;1;;;2;;;3;;3;1;2;11;6;3;2;;;;1;;;1;;1;;1;;;;;
428974;1294;;;2;1;;1;;;4;46;;;;;3;;;;;;;;;3;8;;;;;;;;;;;;2;1;;;;25;1;2;;;;;;4;;;3;;;;;2;;;58;69;53;30;;;;;;;;;;;4;;;5;;
428975;1511;1;;2;1;;1;10;;3;2;2;;2;2;1;;;1;;;4;;;2;1;3;1;;;5;3;2;;;;;17;;;3;;31;1;1;;2;1;;;3;;;1;;;1;;1;11;1;17;45;19;1;;;;16;;;21;;;;1;;;2;;
428976;1728;1;2;6;;;6;;2;42;221;4;;5;;51;;;;;;;;;8;55;12;;;;44;;8;;;;;1;6;;;;241;2;3;;1;;;;31;;;32;;;4;;11;26;8;1044;286;419;134;;2;;;;;17;;;2;1;;;;;
428977;1972;;1;2;1;;1;5;1;5;1;2;;3;;11;;2;;;;;;;2;4;4;;;;7;7;7;;;;3;5;2;;;;5;;5;5;3;;;;3;;;2;;;16;;3;7;;47;11;2;1;1;;;1;2;1;1;;;1;;;1;1;;
428978;2214;2;;7;;;;;;;1;1;;;;6;;;2;;;;1;;;28;6;;;;;;;;;;;;;;;;36;1;1;;7;;;1;6;;;8;;;4;;20;19;;350;103;133;35;;;;;;;;;;2;1;;;3;;
428979;2568;;4;16;3;;13;5;;17;127;1;;;;18;;;;;2;;;;;98;26;;;;108;;8;;;;;2;7;;4;;107;6;;;1;;;10;12;;;105;1;;2;;12;43;;1794;504;418;72;9;108;;;;;2;;;1;2;;;19;;
428980;2919;;;18;;;;;;1;;17;;;;5;;;;;;;;;;36;5;;;;5;;;;;;;5;3;;;;17;;;;;1;;;6;;1;;;;8;;;20;;80;30;;;;3;;29;;;1;;;;;;;;;
428981;3317;1;3;2;;;;;;2;1;3;;;;1;;;;;2;;;;;6;1;;;;2;;;;;;;1;1;;;;12;;;;;;;;1;1;;15;;;2;;1;5;;7;2;2;;1;1;;1;;;1;;;;;;;1;;
428982;3704;1;36;9;3;;1;2;1;17;49;4;;;;5;;;;;2;;;;;28;36;;;;24;;;;;;;;9;;1;;49;;;;3;;;13;2;;;228;;;;;;51;;1234;229;318;31;;;;;;;56;;;;1;;;11;;
428983;4263;;;8;;;;2;;3;;;;;;11;1;;;;;;;;;16;8;;;;2;;;;;;;5;;;;;16;;;;;;;;;;;;;;1;;;17;;51;15;11;;;1;;;;;35;;;;;;;;;
428984;4819;1;16;3;;;6;;;4;12;;;;;4;;;;;;;;;;37;34;;;;5;;6;;;;;7;;;;;6;;;;;;;7;;;;65;;;;;1;2;;173;26;163;27;;;;;2;;194;;;;;;;1;2;
428985;5217;;;16;;1;;4;;1;;21;;;;2;;;;;;;;;;32;14;;;;7;;;;;;;3;;;;;3;;;;;;;;;;;;;;1;;;19;;65;20;4;;;;;4;1;;55;;;;;;;;;
428986;5613;6;63;38;1;;135;;2;341;50;;;;;3;;;;;;;;;;14;16;2;17;;50;;51;;;4;10;2;4;;;;1;1;;;;;;13;3;;;87;;;94;;4;9;;355;94;224;30;;1;;131;12;;;2;;8;13;;;8;21;
428987;6024;1;12;11;;;3;7;1;9;2;14;;;;2;;1;;1;;;;;1;37;21;;1;;2;;1;;;;1;3;;;;;1;;;6;;;;;;;;14;;;2;;1;16;;41;11;31;2;;;;36;1;;91;;;;;;;;;
428988;6439;4;31;19;1;3;45;;4;58;21;;;;;7;;;;;4;;;;;28;15;;5;15;21;;18;;;;3;1;;;;1;56;;;;3;;;;4;;;66;1;;11;;3;31;;439;76;155;12;;8;;57;6;;3;;;;1;;;14;5;
428989;6854;1;13;10;;1;1;;2;11;5;1;;;;2;;1;;;;;;1;1;7;6;1;2;11;14;;3;;;;;;;1;;;1;;1;2;;;1;;1;;1;1;;;1;1;;1;;4;5;16;5;1;5;;12;3;1;3;;;;;;;12;1;
