"name","group","element","units","context","S428969","S428970","S428971","S428972","S428973","S428974","S428975","S428976","S428977","S428978","S428979","S428980","S428981","S428982","S428983","S428984","S428985","S428986","S428987","S428988","S428989","S428990","S428991","S428992","S428993","S428994","S428995","S428996","S428997","S428998","S428999","S429000","S429001","S429002","S429003","S429004","S429005","S429006","S429007","S429008","S429009","S429010","S429011","S429012","S429013","S429014","S429015","S429016","S429017","S429018","S429019","S429020","S429021","S429022","S429023","S429024","S429025","S429026","S429027","S429028","S429029","S429030","S429031","S429032","S429033","S429034","S429035","S429036","S429037","S429038","S429039","S429040","S429041","S429042","S429043","S429044","S429045","S429046","S429047","S429048","S429049","S429050","S429051","S429052","S429053","S429054","S429055","S429056","S429057","S429058","S429059","S429060","S429061","S429062","S429063","S429064"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,10,11.4,20,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,530,540,570,580,590,610,620,660,680,700,720,740,760,780,800,820,840,860,880,900,920,940,960,980,1000,1020,1040,1080,1100,1120,1160,1190,1200,1220,1240,1260,1280,1330,1345,1360,1375,1400,1425,1450,1460
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,428969,428970,428971,428972,428973,428974,428975,428976,428977,428978,428979,428980,428981,428982,428983,428984,428985,428986,428987,428988,428989,428990,428991,428992,428993,428994,428995,428996,428997,428998,428999,429000,429001,429002,429003,429004,429005,429006,429007,429008,429009,429010,429011,429012,429013,429014,429015,429016,429017,429018,429019,429020,429021,429022,429023,429024,429025,429026,429027,429028,429029,429030,429031,429032,429033,429034,429035,429036,429037,429038,429039,429040,429041,429042,429043,429044,429045,429046,429047,429048,429049,429050,429051,429052,429053,429054,429055,429056,429057,429058,429059,429060,429061,429062,429063,429064
RUM 2,Calibrated radiocarbon years BP,,,,542/211/-1,614/239/1,1060/416/24,1562/880/227,1693/1088/390,1956/1294/482,2036/1511/745,2216/1728/899,2249/1972/1549,2334/2214/2067,3136/2568/2218,4114/2919/2260,4533/3317/2462,5309/3704/2551,5660/4263/2957,6454/4819/3119,6748/5217/3668,7230/5613/3980,7431/6024/4519,7919/6439/4850,8082/6854/5228,8366/7270/5496,8454/7717/6683,8623/8166/7353,9042/8737/8530,10613/9304/8582,11077/9691/8780,11679/10066/8868,12057/10520/9164,12904/10974/9344,13252/11456/9740,13874/11939/9957,14178/12316/10374,14630/12694/10605,14904/13146/11062,15321/13599/11439,15472/14019/12047,15802/14437/12458,15919/14912/13408,16169/15385/13934,16248/15511/14153,16382/15634/14307,16452/15740/14473,16572/15850/14606,16640/15953/14764,16724/16059/14892,16784/16163/15076,16870/16267/15215,16923/16372/15419,17017/16481/15583,17065/16584/15803,17193/16796/16262,17278/16908/16466,17595/17215/16821,17764/17310/16877,17864/17408/16964,18096/17602/17124,18222/17699/17192,18575/18079/17544,18739/18278/17764,18891/18472/17957,19030/18667/18206,19153/18862/18539,19354/19067/18814,19711/19266/18925,19972/19469/19054,20233/19674/19196,20452/19889/19355,20666/20098/19550,20862/20313/19756,21037/20515/19965,21205/20719/20186,21357/20919/20477,21560/21135/20795,21985/21399/20951,22316/21659/21106,22620/21927/21292,22897/22190/21510,23371/22708/21989,23584/22958/22251,23783/23223/22571,24167/23728/23254,24597/24042/23494,24771/24148/23554,25020/24358/23740,25260/24569/23923,25484/24776/24093,25691/24989/24263,26147/25505/24797,26300/25664/24960,26450/25823/25089,26563/25980/25274,26787/26242/25555,27053/26488/25787,27355/26706/25935,27500/26796/25995
RUM 1,Radiocarbon years BP,,,,--/211/--,--/239/--,--/416/--,--/880/--,--/1088/--,--/1294/--,--/1511/--,--/1728/--,--/1972/--,--/2214/--,--/2568/--,--/2919/--,--/3317/--,--/3704/--,--/4263/--,--/4819/--,--/5217/--,--/5613/--,--/6024/--,--/6439/--,--/6854/--,--/7270/--,--/7717/--,--/8166/--,--/8737/--,--/9304/--,--/9691/--,--/10066/--,--/10520/--,--/10974/--,--/11456/--,--/11939/--,--/12316/--,--/12694/--,--/13146/--,--/13599/--,--/14019/--,--/14437/--,--/14912/--,--/15385/--,--/15511/--,--/15634/--,--/15740/--,--/15850/--,--/15953/--,--/16059/--,--/16163/--,--/16267/--,--/16372/--,--/16481/--,--/16584/--,--/16796/--,--/16908/--,--/17215/--,--/17310/--,--/17408/--,--/17602/--,--/17699/--,--/18079/--,--/18278/--,--/18472/--,--/18667/--,--/18862/--,--/19067/--,--/19266/--,--/19469/--,--/19674/--,--/19889/--,--/20098/--,--/20313/--,--/20515/--,--/20719/--,--/20919/--,--/21135/--,--/21399/--,--/21659/--,--/21927/--,--/22190/--,--/22708/--,--/22958/--,--/23223/--,--/23728/--,--/24042/--,--/24148/--,--/24358/--,--/24569/--,--/24776/--,--/24989/--,--/25505/--,--/25664/--,--/25823/--,--/25980/--,--/26242/--,--/26488/--,--/26706/--,--/26796/--
Abutilon,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,4,,,,1,,1,1,1,,,1,,,1,,,,,,,,,,4,,,,,,,,,,,1,,
Acacia,TRSH,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,1,,,,,,,,,,1,,,,,,,2,,,,1,,1,,,,,,,,,1,,,,,1,,,,,,,,,
Acalypha,UPHE,pollen,NISP,,1,,12,5,1,,1,1,,2,,,1,1,,1,,6,1,4,1,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,,,1,,,,,,1,,,1,3,1,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,
