Sample ID;Year;Acacia;Acalypha;Achyranthes aspera-type;Aeschynomene baumii-type;Aidia micrantha-type;Alchemilla;Alchornea;Allophylus;Amaranthaceae;Anacardiaceae undiff.;Anagallis-type;Anthocleista;Anthospermum;Apiaceae undiff.;Apodytes dimidiata;Artemisia;Asteroideae;Begonia;Bersama abyssinica-type;Blighia unijugata-type;Brachystegia;Brassicaceae;Carduus;Caryophyllaceae undiff.;Cassia mimosoides-type;Celtis;Cerastium afromontanum-type;Cerastium octandrum-type;Chrysophyllum bangweolense-type;Clematis;Cliffortia nitidula-type;Clutia;Combretaceae;Cornus volkensii;Crassocephalum montuosum-type;Croton;Cucurbitaceae;Diospyros;Dodonaea viscosa-type;Ekebergia-type;Entada-type;Ericaceae;Eriocaulaceae;Euclea;Euphorbia;Fabaceae undiff.;Ficus;Fleroya rubrostipulata-type;Galiniera saxifraga-type;Garcinia volkensii-type;Geranium;Hagenia abyssinica;Harungana;Hymenocardia;Hymenodictyon floribundum-type;Hypericum;Hypoestes-type;Ilex mitis;Impatiens;Isoglossa;Justicia striata-type;Keetia gueinzii-type;Kotschya-type;Lamiaceae undiff.;Laportea aestuans-type;Laurembergia tetrandra;Lobelia;Loranthaceae;Lythrum;Macaranga-type;Maesa lanceolata-type;Margaritaria discoidea-type;Melastomataceae;Mimulopsis-type;Monocotyledoneae undiff.;Moraceae undiff.;Myrianthus holstii-type;Myrica;Nuxia/Ficalhoa;Oldenlandia-type;Olea capensis-type;Olea europaea-type;Parinari-type;Persicaria-type;Phoenix reclinata-type;Phyllanthus niruri-type;Phyllanthus rivae-type;Pilea bambuseti-type;Plantago africana-type;Poaceae;Podocarpus;Polyscias fulva-type;Protea-type;Prunus africana-type;Psydrax schimperiana-type;Ranunculus;Rapanea melanophloeos-type;Rhamnaceae;Ricinus communis;Rubia-type;Rubiaceae undiff.;Rubus pinnatus-type;Rumex;Schefflera abyssinica-type;Schefflera myriantha-type;Sebaea brachyphylla-type;Securinega virosa-type;Sericostachys scandens-type;Shirakiopsis elliptica-type;Silene burchellii-type;Smithia elliotii-type;Solanecio mannii-type;Solanum;Spermacoce-type;Stellaria mannii-type;Stephania abyssinica-type;Swertia usambarensis-type;Symphonia globulifera;Syzygium-type;Tetrorchidium;Thalictrum;Tilioideae;Trema orientalis-type;Uapaca undiff.;Uebelinia abyssinica-type;Urticaceae undiff.;Virectaria;Xyris;Zanthoxylum-type
45777;796;;15;1;;;;1;;;;;1;;4;1;1;10;1;;;;;;;2;;;;;1;;;;;;;;;1;;;1;;;;2;;;1;;;2;;2;;;;;;;;;5;;;59;;;;10;;;;;2;;;;;;2;;;;;;;1;;83;1;2;;;;;;;;;2;1;2;;1;;;;;;;;;;;;;;;;;;1;;;6;;1;1
45778;857;1;21;;;;1;;;;;;1;;6;1;;18;;;;1;;1;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;77;;;;4;;;;;;;;;;;2;;;;;;;;;111;10;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;5;1;12;
45779;918;;4;;;;1;6;;2;;;;;21;2;1;42;;;;1;;;;2;1;;;;;;;2;;;;;;1;;;2;;;;;1;;1;;;;;;;;1;;;1;;;3;;;17;;;;15;;;;;;;1;;;;5;;2;;;;;;;111;7;2;;1;;;;;;;;;1;;1;;;;;;;;;;;;;;2;;;;;;;;;5;
45780;979;;13;1;1;;;5;;;;1;;;17;10;;38;4;;;;;1;;1;;;;;1;;;3;;;;;;;;;2;;;;;;;2;;;;;;;;;;;;;;2;;;32;1;;;32;2;;;;;;;;2;;8;;;;;;;5;;37;;3;;;;;1;;;;;;;;;;;1;;;;3;;;;;1;;8;;;;;;;3;1;14;
45781;1040;;8;;7;;;7;;1;;1;;;3;32;;24;;1;;;;;;1;;;;;;;;3;;;2;;;2;;;3;;2;;;;;3;;;;1;1;;;;;;;;;2;;1;155;;1;;12;;;;2;;1;;1;1;;34;;1;;;;;1;;73;5;2;;;;;;;;;2;;;;4;;;;;;;;;;;;;;8;;;1;2;;;9;1;5;3
45782;1101;;3;;2;;;11;;;;4;;;38;28;;21;;;;;;1;;2;;;;;;;;2;;;3;;;1;;1;3;;;1;;;;;;;5;;1;;;3;1;;;;2;12;1;2;10;;;;61;2;;3;5;1;;6;;;;10;;1;;;;1;;;42;5;5;;3;;;2;;;;1;;;;2;;;4;;;1;;;;;;;;8;;;;1;;;2;;19;
45783;1162;;11;;5;;;7;;;;1;;;33;5;;22;1;1;;;;1;;2;2;;;;;;;;;;3;;;1;;;;;1;;;;;;;;3;;;;;2;;;;;1;1;;;12;;2;;33;1;;;1;;1;1;;1;;9;;1;;1;;;2;;60;2;5;;3;;;1;;;;2;1;1;;2;;;1;;;;1;;;;;;;3;;;;;;;7;;33;1
45784;1223;;9;;7;;1;5;;;;5;;;10;44;;43;3;;;;;;;5;;;;1;;;;1;;1;2;;;;;;1;;;;;1;1;5;;;8;2;;;1;2;;;;;;10;;;14;;;;57;2;;;5;;11;6;;1;;20;;1;;;;;2;;45;3;3;;7;;;4;;;1;3;1;;;8;;;1;;;;2;1;;;1;;;10;;;;1;2;;15;;12;6
45785;1278;;9;1;14;;;4;1;;2;;;;34;32;;33;1;1;;;;;;4;;;;2;;;;1;;;2;;;1;;;2;;;;1;;;3;;;9;;;;;8;;;;;1;;;;5;;;;107;;;;2;;4;15;;;;22;;1;;;;;3;;47;1;16;;1;;;1;1;;;6;;;;6;;;1;;;;;;;;;;;8;;;;1;;;17;;16;5
45786;1345;;12;;2;;;3;;;3;2;;;17;22;;25;5;;;1;;1;;;1;;;;;;;;;;1;;;;;;1;;1;;1;;;;;;15;;;;;3;;1;;;;;2;;18;;;;39;;;;1;;1;5;;3;1;27;;1;1;;;;;;50;7;8;;5;;;4;3;;;3;;1;;4;;;2;;;;1;;;;;;1;11;;;;3;;;9;1;18;2
