"name","group","element","units","context","S45777","S45778","S45779","S45780","S45781","S45782","S45783","S45784","S45785","S45786","S45787","S45788","S45789","S45790","S45791","S45792","S45793","S45794","S45795","S45796","S45797","S45798","S45799","S45800","S45801","S45802","S45803","S45804","S45805","S45806","S45807","S45808","S45809","S45810","S45811","S45812","S45813","S45814","S45815","S45816","S45817","S45818","S45819","S45820","S45821","S45822","S45823","S45824","S45825","S45826","S45827","S45828","S45829","S45830","S45831","S45832","S45833","S45834","S45835","S45836","S45837","S45838","S45839","S45840","S45841","S45842","S45843","S45844","S45845","S45846","S45847","S45848","S45849","S45850","S45851","S45852","S45853","S45854","S45855","S45856","S45857","S45858","S45859","S45860","S45861","S45862","S45863","S45864","S45865","S45866","S45867","S45868","S45869","S45870","S45871","S45872","S45873","S45874","S45875","S45876","S45877","S45878","S45879","S45880","S45881","S45882","S45883","S45884","S45885","S45886","S45887","S45888","S45889","S45890","S45891","S45892","S45893","S45894","S45895","S45896","S45897","S45898","S45899","S45900","S45901","S45902","S45903","S45904","S45905","S45906","S45907","S45908","S45909","S45910","S45911","S45912","S45913","S45914","S45915","S45916","S45917"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,55,65,75,85,95,105,115,125,134,145,155,165,175,185,195,205,215,225,235,245,255,265,275,285,295,305,315,325,335,345,355,365,375,385,395,405,415,425,435,445,455,465,475,485,495,500,505,510,515,520,525,530,535,540,545,555,565,575,585,595,605,615,625,635,645,655,665,675,685,695,700,705,710,715,720,725,730,735,740,745,750,755,760,765,770,775,780,785,790,795,800,805,810,814,820,825,830,835,840,845,850,855,860,865,870,875,880,885,890,895,900,902,905,907,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1005,1015,1025,1035,1045,1065,1075,1085,1089
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,45777,45778,45779,45780,45781,45782,45783,45784,45785,45786,45787,45788,45789,45790,45791,45792,45793,45794,45795,45796,45797,45798,45799,45800,45801,45802,45803,45804,45805,45806,45807,45808,45809,45810,45811,45812,45813,45814,45815,45816,45817,45818,45819,45820,45821,45822,45823,45824,45825,45826,45827,45828,45829,45830,45831,45832,45833,45834,45835,45836,45837,45838,45839,45840,45841,45842,45843,45844,45845,45846,45847,45848,45849,45850,45851,45852,45853,45854,45855,45856,45857,45858,45859,45860,45861,45862,45863,45864,45865,45866,45867,45868,45869,45870,45871,45872,45873,45874,45875,45876,45877,45878,45879,45880,45881,45882,45883,45884,45885,45886,45887,45888,45889,45890,45891,45892,45893,45894,45895,45896,45897,45898,45899,45900,45901,45902,45903,45904,45905,45906,45907,45908,45909,45910,45911,45912,45913,45914,45915,45916,45917
Bonnefille 1995a,Radiocarbon years BP,,,,--/796/--,--/857/--,--/918/--,--/979/--,--/1040/--,--/1101/--,--/1162/--,--/1223/--,--/1278/--,--/1345/--,--/1406/--,--/1467/--,--/1528/--,--/1589/--,--/1650/--,--/1726/--,--/1802/--,--/1878/--,--/1954/--,--/2030/--,--/2106/--,--/2182/--,--/2258/--,--/2334/--,--/2410/--,--/2560/--,--/2710/--,--/2860/--,--/3010/--,--/3160/--,--/3310/--,--/3460/--,--/3610/--,--/3760/--,--/3910/--,--/4053/--,--/4196/--,--/4339/--,--/4482/--,--/4625/--,--/4768/--,--/4911/--,--/5054/--,--/5197/--,--/5340/--,--/5464/--,--/5588/--,--/5712/--,--/5836/--,--/5960/--,--/6084/--,--/6208/--,--/6332/--,--/6456/--,--/6580/--,--/6666/--,--/6752/--,--/6838/--,--/6924/--,--/7010/--,--/7088/--,--/7166/--,--/7244/--,--/7322/--,--/7400/--,--/7478/--,--/7556/--,--/7634/--,--/7712/--,--/7790/--,--/7856/--,--/7921/--,--/7986/--,--/8052/--,--/8118/--,--/8183/--,--/8248/--,--/8314/--,--/8380/--,--/8445/--,--/8510/--,--/8576/--,--/8642/--,--/8707/--,--/8772/--,--/8838/--,--/8904/--,--/8969/--,--/9034/--,--/9100/--,--/9198/--,--/9296/--,--/9393/--,--/9472/--,--/9589/--,--/9687/--,--/9785/--,--/9882/--,--/9980/--,--/10058/--,--/10134/--,--/10210/--,--/10285/--,--/10361/--,--/10437/--,--/10513/--,--/10588/--,--/10664/--,--/10740/--,--/10816/--,--/10891/--,--/10922/--,--/10967/--,--/10997/--,--/11043/--,--/11119/--,--/11194/--,--/11270/--,--/11346/--,--/11422/--,--/11497/--,--/11680/--,--/11909/--,--/12562/--,--/13500/--,--/14438/--,--/15375/--,--/16312/--,--/17250/--,--/18188/--,--/19125/--,--/20062/--,--/22442/--,--/25326/--,--/28210/--,--/31094/--,--/33977/--,--/39745/--,--/42629/--,--/45513/--,--/46666/--
Bonnefille 1995b,Radiocarbon years BP,,,,--/796/--,--/857/--,--/918/--,--/979/--,--/1040/--,--/1101/--,--/1162/--,--/1223/--,--/1278/--,--/1345/--,--/1406/--,--/1467/--,--/1528/--,--/1589/--,--/1650/--,--/1726/--,--/1802/--,--/1878/--,--/1954/--,--/2030/--,--/2106/--,--/2182/--,--/2258/--,--/2334/--,--/2410/--,--/2560/--,--/2710/--,--/2860/--,--/3010/--,--/3160/--,--/3310/--,--/3460/--,--/3610/--,--/3760/--,--/3910/--,--/4053/--,--/4196/--,--/4339/--,--/4482/--,--/4625/--,--/4768/--,--/4911/--,--/5054/--,--/5197/--,--/5340/--,--/5464/--,--/5588/--,--/5712/--,--/5836/--,--/5960/--,--/6084/--,--/6208/--,--/6332/--,--/6456/--,--/6580/--,--/6666/--,--/6752/--,--/6838/--,--/6924/--,--/7010/--,--/7088/--,--/7166/--,--/7244/--,--/7322/--,--/7400/--,--/7478/--,--/7556/--,--/7634/--,--/7712/--,--/7790/--,--/7856/--,--/7921/--,--/7986/--,--/8052/--,--/8118/--,--/8183/--,--/8248/--,--/8314/--,--/8380/--,--/8445/--,--/8510/--,--/8576/--,--/8642/--,--/8707/--,--/8772/--,--/8838/--,--/8904/--,--/8969/--,--/9034/--,--/9100/--,--/9100/--,--/9100/--,--/9100/--,--/9100/--,--/9100/--,--/9100/--,--/9100/--,--/9100/--,--/9100/--,--/9189/--,--/9288/--,--/9388/--,--/9487/--,--/9586/--,--/9685/--,--/9784/--,--/9883/--,--/9983/--,--/10082/--,--/10181/--,--/10280/--,--/10335/--,--/10425/--,--/10485/--,--/10575/--,--/10725/--,--/10875/--,--/11025/--,--/11175/--,--/11325/--,--/11475/--,--/11680/--,--/11909/--,--/12562/--,--/13500/--,--/14438/--,--/15375/--,--/16312/--,--/17250/--,--/18188/--,--/19125/--,--/20062/--,--/22442/--,--/25326/--,--/28210/--,--/31094/--,--/33977/--,--/39745/--,--/42629/--,--/45513/--,--/46666/--
Acacia (type I),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia (type III),TRSH,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha,UPHE,pollen,NISP,,15,21,4,13,8,3,11,9,9,12,11,4,1,5,9,3,11,4,4,3,6,2,4,8,6,1,8,2,2,3,6,5,5,5,,2,3,,,,2,,2,5,1,,6,1,2,7,2,4,4,2,1,1,,3,3,,1,7,,,1,,,2,4,9,5,2,3,5,1,1,1,1,1,,4,,4,,,1,3,2,1,3,1,,2,1,2,4,,,2,2,1,3,4,1,1,,1,1,4,2,,2,5,2,3,1,1,1,2,2,2,2,3,,,,,,,,1,,1,,1,,1,,,,
