"name","group","element","units","context","S478860","S478861","S478863","S478862","S478864","S478865","S478866","S478867","S478869","S478868","S478870","S478871","S478872","S478873","S478874","S478875","S478876","S478877","S478878","S478879","S478880","S478881","S478882","S478883","S478884","S478885","S478886","S478887","S478888","S478890","S478889","S478891","S478892","S478893","S478894","S478895","S478896","S478897","S478898","S478899","S478900","S478901","S478902","S478903","S478904","S478905","S478906","S478907","S478908","S478909","S478912","S478911","S478910","S478913","S478914","S478915","S478916","S478917","S478918","S478919","S478920","S478921","S478922","S478923","S478924","S478925","S478926","S478927","S478928","S478930","S478929","S478931","S478932","S478933","S478934","S478935","S478936","S478937","S478938","S478939","S478940","S478941","S478942","S478943","S478944","S478945","S478946","S478947","S478948"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,2,6,12,24,36,45.5,55,64,73.5,83,90,101.5,110.5,120,132.5,143,153.5,164,175,185,196,206.5,217,228,241,252,263,273.5,284.5,295.5,306.5,317,328,338.5,347,360,369,377,390,403,412,425,436,447.5,459,470,481,492,504,515,525.5,535,545,555,567.5,577,590,600,613,622.5,635,645,654.5,661,670,676.5,686,692.5,702,715,725,734.5,744,754,763,773,782.5,792,799,811,823.5,833,842.5,852.5,862,872,876.5,886,893
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,478860,478861,478863,478862,478864,478865,478866,478867,478869,478868,478870,478871,478872,478873,478874,478875,478876,478877,478878,478879,478880,478881,478882,478883,478884,478885,478886,478887,478888,478890,478889,478891,478892,478893,478894,478895,478896,478897,478898,478899,478900,478901,478902,478903,478904,478905,478906,478907,478908,478909,478912,478911,478910,478913,478914,478915,478916,478917,478918,478919,478920,478921,478922,478923,478924,478925,478926,478927,478928,478930,478929,478931,478932,478933,478934,478935,478936,478937,478938,478939,478940,478941,478942,478943,478944,478945,478946,478947,478948
APD default,Radiocarbon years BP,,,,--/222.6/--,--/297.2182/--,--/409.1454/--,--/633/--,--/856.8546/--,--/1034.073/--,--/1165.927/--,--/1217.168/--,--/1271.255/--,--/1325.343/--,--/1365.197/--,--/1430.672/--,--/1481.912/--,--/1536/--,--/1587.415/--,--/1630.604/--,--/1673.792/--,--/1716.981/--,--/1762.226/--,--/1803.359/--,--/1848.604/--,--/1890.754/--,--/1932.386/--,--/1976/--,--/2027.544/--,--/2071.158/--,--/2114.772/--,--/2156.404/--,--/2200.018/--,--/2243.632/--,--/2287.246/--,--/2354.941/--,--/2480.471/--,--/2600.294/--,--/2697.294/--,--/2845.647/--,--/2948.353/--,--/3039.647/--,--/3188/--,--/3366.829/--,--/3490.634/--,--/3669.463/--,--/3820.781/--,--/3978.976/--,--/4143.35/--,--/4303.73/--,--/4464.11/--,--/4624.49/--,--/4799.45/--,--/4959.83/--,--/5112.92/--,--/5251.43/--,--/5397.23/--,--/5566.32/--,--/5831.75/--,--/6033.477/--,--/6309.523/--,--/6521.867/--,--/6797.914/--,--/6999.641/--,--/7265.07/--,--/7477.414/--,--/7679.141/--,--/7817.164/--,--/8008.273/--,--/8146.297/--,--/8292.076/--,--/8374.152/--,--/8494.11/--,--/8658.263/--,--/8784.534/--,--/8904.491/--,--/9024.449/--,--/9150.721/--,--/9264.364/--,--/9390.636/--,--/9510.593/--,--/9630.551/--,--/9751/--,--/10159/--,--/10389.13/--,--/10494.33/--,--/10599.53/--,--/10710.27/--,--/10815.47/--,--/10926.21/--,--/10976.04/--,--/11081.24/--,--/11158.76/--
Calibrated age (2),Calibrated radiocarbon years BP,,,,--/230.8333/--,--/299.5/--,--/402.5/--,--/608.5/--,--/814.5/--,--/977.5833/--,--/1093.13/--,--/1140.674/--,--/1190.859/--,--/1241.043/--,--/1278.022/--,--/1338.772/--,--/1386.315/--,--/1436.5/--,--/1493.182/--,--/1540.796/--,--/1588.409/--,--/1636.022/--,--/1685.902/--,--/1731.248/--,--/1781.129/--,--/1828.561/--,--/1875.904/--,--/1925.5/--,--/1984.114/--,--/2033.711/--,--/2083.307/--,--/2130.649/--,--/2180.246/--,--/2229.842/--,--/2279.438/--,--/2361.418/--,--/2519.876/--,--/2671.131/--,--/2793.575/--,--/2980.843/--,--/3110.49/--,--/3225.732/--,--/3413/--,--/3665.496/--,--/3840.301/--,--/4092.797/--,--/4306.447/--,--/4529.809/--,--/4734.663/--,--/4921.167/--,--/5107.672/--,--/5294.178/--,--/5497.638/--,--/5684.143/--,--/5862.17/--,--/6023.243/--,--/6192.792/--,--/6382.393/--,--/6665.938/--,--/6881.432/--,--/7176.318/--,--/7403.154/--,--/7698.041/--,--/7913.535/--,--/8197.08/--,--/8423.916/--,--/8639.41/--,--/8786.854/--,--/8991.006/--,--/9138.449/--,--/9306.038/--,--/9405.576/--,--/9551.055/--,--/9750.132/--,--/9903.267/--,--/10048.75/--,--/10194.22/--,--/10347.36/--,--/10485.18/--,--/10638.32/--,--/10783.8/--,--/10929.28/--,--/11106.89/--,--/11853.97/--,--/12210.31/--,--/12330.24/--,--/12450.16/--,--/12576.41/--,--/12696.34/--,--/12822.58/--,--/12879.39/--,--/12999.32/--,--/13087.68/--
Calibrated age (1),Calibrated radiocarbon years BP,,,,--/247.8519/--,--/313.3333/--,--/411.5555/--,--/608/--,--/804.4445/--,--/959.963/--,--/1072.899/--,--/1124.42/--,--/1178.804/--,--/1233.188/--,--/1273.261/--,--/1339.094/--,--/1390.616/--,--/1445/--,--/1500.818/--,--/1547.704/--,--/1594.591/--,--/1641.478/--,--/1690.598/--,--/1735.252/--,--/1784.371/--,--/1828.952/--,--/1872.379/--,--/1917.875/--,--/1971.643/--,--/2017.138/--,--/2062.634/--,--/2106.062/--,--/2151.557/--,--/2197.053/--,--/2242.548/--,--/2323.68/--,--/2487.673/--,--/2644.212/--,--/2770.935/--,--/2964.745/--,--/3098.922/--,--/3218.189/--,--/3412/--,--/3641.561/--,--/3800.488/--,--/4030.049/--,--/4224.292/--,--/4427.366/--,--/4633.3/--,--/4831.74/--,--/5030.18/--,--/5228.62/--,--/5445.1/--,--/5643.54/--,--/5832.96/--,--/6004.34/--,--/6184.74/--,--/6379.889/--,--/6658.063/--,--/6869.475/--,--/7158.775/--,--/7381.314/--,--/7670.615/--,--/7882.027/--,--/8160.201/--,--/8382.74/--,--/8594.152/--,--/8738.803/--,--/8939.088/--,--/9083.738/--,--/9255.078/--,--/9359.657/--,--/9512.502/--,--/9721.659/--,--/9882.549/--,--/10035.39/--,--/10188.24/--,--/10349.13/--,--/10493.93/--,--/10654.82/--,--/10807.67/--,--/10960.51/--,--/11138.66/--,--/11855.91/--,--/12200.59/--,--/12318.61/--,--/12436.63/--,--/12560.86/--,--/12678.87/--,--/12803.1/--,--/12859/--,--/12977.02/--,--/13063.98/--
Acacia,TRSH,pollen,NISP,,,,1,1,,2,,,2,,,,1,1,1,2,1,,1,1,,,,,,,,1,,1,,,,,,1,,2,2,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Acalypha cf. A. crenata,UPHE,pollen,NISP,,,,,,1,,,,,5,2,,,,,,1,,,2,1,,1,1,1,2,2,,1,2,,3,,6,4,8,5,4,8,8,6,6,,1,3,4,3,2,,2,1,3,3,4,3,7,6,,4,,3,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,
